StudyInstanceUID,SeriesInstanceUID,DescriptionType,SeriesDescription,Fluid_Sensitive,Fat_Suppression,TrainSeries_AnatomicalPlane,DICOM_AnatomicalPlane,PlaneMatch,NumberOfSlices,Rows,Columns,PixelSpacing,SliceThickness,SpacingBetweenSlices,SequenceName,ScanningSequence,SequenceVariant,Manufacturer,ManufacturerModelName,MagneticFieldStrength,EchoTime,RepetitionTime,FlipAngle,AcquisitionSignature
1.2.826.0.1.3680043.8.498.16060119389060497136231217718921482192,1.2.826.0.1.3680043.8.498.10114318007378072154267323023488130369,Blank,,1,1,Sagittal,Sagittal,True,32,736,736,"[0.2446, 0.2446]",2.5000,3.5000,FSE2D+11,SE,NONE,CANON_MEC,Galan 3T,3,33.000,3937.000,90,"NA|1|1|736.0|736.0|[0.2446, 0.2446]|2.5|3.5|33.0|3937.0|CANON_MEC|Galan 3T"
1.2.826.0.1.3680043.8.498.16060119389060497136231217718921482192,1.2.826.0.1.3680043.8.498.10800916297806196226204914061473420340,Blank,,1,1,Axial,Axial,True,35,896,896,"[0.2009, 0.2009]",3.0000,4.0000,FSE2D+11,SE,NONE,CANON_MEC,Galan 3T,3,33.000,4306.000,90,"NA|1|1|896.0|896.0|[0.2009, 0.2009]|3.0|4.0|33.0|4306.0|CANON_MEC|Galan 3T"
1.2.826.0.1.3680043.8.498.16060119389060497136231217718921482192,1.2.826.0.1.3680043.8.498.11844032892710836502823802081213979899,Blank,,0,0,Sagittal,Sagittal,True,32,768,768,"[0.2344, 0.2344]",2.5000,3.5000,FSE2D+11,SE,NONE,CANON_MEC,Galan 3T,3,77.000,6725.000,90,"NA|0|0|768.0|768.0|[0.2344, 0.2344]|2.5|3.5|77.0|6725.0|CANON_MEC|Galan 3T"
1.2.826.0.1.3680043.8.498.16060119389060497136231217718921482192,1.2.826.0.1.3680043.8.498.56489188975219855943731152460524612324,Blank,,1,1,Coronal,Coronal,True,35,768,768,"[0.2344, 0.2344]",2.5000,3.5000,FSE2D+11,SE,NONE,CANON_MEC,Galan 3T,3,33.000,5076.000,90,"NA|1|1|768.0|768.0|[0.2344, 0.2344]|2.5|3.5|33.0|5076.0|CANON_MEC|Galan 3T"
1.2.826.0.1.3680043.8.498.16060119389060497136231217718921482192,1.2.826.0.1.3680043.8.498.75266919254774703903096233357689465742,Blank,,0,0,Axial,Axial,True,35,832,832,"[0.2163, 0.2163]",3.0000,4.0000,FSE2D+10,SE,NONE,CANON_MEC,Galan 3T,3,10.000,325.000,90,"NA|0|0|832.0|832.0|[0.2163, 0.2163]|3.0|4.0|10.0|325.0|CANON_MEC|Galan 3T"
1.2.826.0.1.3680043.8.498.16060119389060497136231217718921482192,1.2.826.0.1.3680043.8.498.82999681476036202881857678022765229979,Blank,,0,0,Coronal,Coronal,True,35,768,768,"[0.2344, 0.2344]",2.5000,3.5000,FSE2D+10,SE,NONE,CANON_MEC,Galan 3T,3,10.000,310.000,90,"NA|0|0|768.0|768.0|[0.2344, 0.2344]|2.5|3.5|10.0|310.0|CANON_MEC|Galan 3T"
1.2.826.0.1.3680043.8.498.16060119389060497136231217718921482192,1.2.826.0.1.3680043.8.498.98361555428040875788860183899606219732,Blank,,0,0,Axial,Axial,True,35,832,832,"[0.2163, 0.2163]",3.0000,4.0000,FSE2D+11,SE,NONE,CANON_MEC,Galan 3T,3,77.000,7355.000,90,"NA|0|0|832.0|832.0|[0.2163, 0.2163]|3.0|4.0|77.0|7355.0|CANON_MEC|Galan 3T"
1.2.826.0.1.3680043.8.498.17844546765907321649997094867791102711,1.2.826.0.1.3680043.8.498.11261251202884490916489531421908521865,Dummy,DummySeriesDesc!,0,0,Coronal,Coronal,True,30,1024,1024,"[0.1465, 0.1465]",3,4,,SE,SK,GE MEDICAL SYSTEMS,SIGNA Architect,3,6.992,777,142.0,"NA|0|0|1024.0|1024.0|[0.1465, 0.1465]|3.0|4.0|6.992|777.0|GE MEDICAL SYSTEMS|SIGNA Architect"
1.2.826.0.1.3680043.8.498.17844546765907321649997094867791102711,1.2.826.0.1.3680043.8.498.12647596472796287171744368208436290003,Dummy,DummySeriesDesc!,0,0,Sagittal,Sagittal,True,136,512,512,"[0.3125, 0.3125]",1.6,0.8,,GR,"['SS', 'SK']",GE MEDICAL SYSTEMS,SIGNA Architect,3,11.644,35.9,5.0,"NA|0|0|512.0|512.0|[0.3125, 0.3125]|1.6|0.8|11.644|35.9|GE MEDICAL SYSTEMS|SIGNA Architect"
1.2.826.0.1.3680043.8.498.17844546765907321649997094867791102711,1.2.826.0.1.3680043.8.498.18449110770459991745936951397216109055,Dummy,DummySeriesDesc!,1,1,Coronal,Coronal,True,30,1024,1024,"[0.1465, 0.1465]",3,4,,SE,SK,GE MEDICAL SYSTEMS,SIGNA Architect,3,27.24,2282,142.0,"NA|1|1|1024.0|1024.0|[0.1465, 0.1465]|3.0|4.0|27.24|2282.0|GE MEDICAL SYSTEMS|SIGNA Architect"
1.2.826.0.1.3680043.8.498.17844546765907321649997094867791102711,1.2.826.0.1.3680043.8.498.42927162914563423947167748937620376779,Dummy,DummySeriesDesc!,1,1,Axial,Axial,True,30,1024,1024,"[0.1465, 0.1465]",3,4,,SE,"['SK', 'OSP']",GE MEDICAL SYSTEMS,SIGNA Architect,3,32.288,2132,142.0,"NA|1|1|1024.0|1024.0|[0.1465, 0.1465]|3.0|4.0|32.288|2132.0|GE MEDICAL SYSTEMS|SIGNA Architect"
1.2.826.0.1.3680043.8.498.17844546765907321649997094867791102711,1.2.826.0.1.3680043.8.498.43772087715797110907700007293827052431,Dummy,DummySeriesDesc!,1,1,Sagittal,Sagittal,True,28,1024,1024,"[0.1465, 0.1465]",3,4,,SE,"['SK', 'OSP']",GE MEDICAL SYSTEMS,SIGNA Architect,3,66.456,5263,142.0,"NA|1|1|1024.0|1024.0|[0.1465, 0.1465]|3.0|4.0|66.456|5263.0|GE MEDICAL SYSTEMS|SIGNA Architect"
