,ACL,MCL,Medial Meniscus,Lateral Meniscus,Medial OA,Lateral OA,PF OA,Effusion,Synovitis,Baker's,Contusion,Fracture
ACL,24,5,13,9,3,4,5,18,10,4,13,11
MCL,5,9,2,4,0,1,1,5,3,0,4,4
Medial Meniscus,13,2,26,12,12,5,10,19,15,9,8,9
Lateral Meniscus,9,4,12,23,11,9,10,16,13,8,5,7
Medial OA,3,0,12,11,15,6,10,10,10,8,1,2
Lateral OA,4,1,5,9,6,11,7,9,9,6,1,2
PF OA,5,1,10,10,10,7,21,14,14,7,3,4
Effusion,18,5,19,16,10,9,14,35,22,8,13,13
Synovitis,10,3,15,13,10,9,14,22,27,8,10,9
Baker's,4,0,9,8,8,6,7,8,8,12,3,2
Contusion,13,4,8,5,1,1,3,13,10,3,19,10
Fracture,11,4,9,7,2,2,4,13,9,2,10,18
