AcquisitionFeature,Label,StudiesWithFeature,StudiesWithoutFeature,PositiveWithFeature,NegativeWithFeature,PositiveWithoutFeature,NegativeWithoutFeature,PrevalenceWhenPresent,PrevalenceWhenAbsent,DescriptivePrevalenceRatio
Has_Sagittal,ACL,58,0,24,34,0,0,0.41379310344827586,,
Has_Sagittal,MCL,58,0,9,49,0,0,0.15517241379310345,,
Has_Sagittal,Medial Meniscus,58,0,26,32,0,0,0.4482758620689655,,
Has_Sagittal,Lateral Meniscus,58,0,23,35,0,0,0.39655172413793105,,
Has_Sagittal,Medial OA,58,0,15,43,0,0,0.25862068965517243,,
Has_Sagittal,Lateral OA,58,0,11,47,0,0,0.1896551724137931,,
Has_Sagittal,PF OA,58,0,21,37,0,0,0.3620689655172414,,
Has_Sagittal,Effusion,58,0,35,23,0,0,0.603448275862069,,
Has_Sagittal,Synovitis,58,0,27,31,0,0,0.46551724137931033,,
Has_Sagittal,Baker's,58,0,12,46,0,0,0.20689655172413793,,
Has_Sagittal,Contusion,58,0,19,39,0,0,0.3275862068965517,,
Has_Sagittal,Fracture,58,0,18,40,0,0,0.3103448275862069,,
Has_Coronal,ACL,58,0,24,34,0,0,0.41379310344827586,,
Has_Coronal,MCL,58,0,9,49,0,0,0.15517241379310345,,
Has_Coronal,Medial Meniscus,58,0,26,32,0,0,0.4482758620689655,,
Has_Coronal,Lateral Meniscus,58,0,23,35,0,0,0.39655172413793105,,
Has_Coronal,Medial OA,58,0,15,43,0,0,0.25862068965517243,,
Has_Coronal,Lateral OA,58,0,11,47,0,0,0.1896551724137931,,
Has_Coronal,PF OA,58,0,21,37,0,0,0.3620689655172414,,
Has_Coronal,Effusion,58,0,35,23,0,0,0.603448275862069,,
Has_Coronal,Synovitis,58,0,27,31,0,0,0.46551724137931033,,
Has_Coronal,Baker's,58,0,12,46,0,0,0.20689655172413793,,
Has_Coronal,Contusion,58,0,19,39,0,0,0.3275862068965517,,
Has_Coronal,Fracture,58,0,18,40,0,0,0.3103448275862069,,
Has_Axial,ACL,58,0,24,34,0,0,0.41379310344827586,,
Has_Axial,MCL,58,0,9,49,0,0,0.15517241379310345,,
Has_Axial,Medial Meniscus,58,0,26,32,0,0,0.4482758620689655,,
Has_Axial,Lateral Meniscus,58,0,23,35,0,0,0.39655172413793105,,
Has_Axial,Medial OA,58,0,15,43,0,0,0.25862068965517243,,
Has_Axial,Lateral OA,58,0,11,47,0,0,0.1896551724137931,,
Has_Axial,PF OA,58,0,21,37,0,0,0.3620689655172414,,
Has_Axial,Effusion,58,0,35,23,0,0,0.603448275862069,,
Has_Axial,Synovitis,58,0,27,31,0,0,0.46551724137931033,,
Has_Axial,Baker's,58,0,12,46,0,0,0.20689655172413793,,
Has_Axial,Contusion,58,0,19,39,0,0,0.3275862068965517,,
Has_Axial,Fracture,58,0,18,40,0,0,0.3103448275862069,,
Has_Axial_Fluid_FS,ACL,58,0,24,34,0,0,0.41379310344827586,,
Has_Axial_Fluid_FS,MCL,58,0,9,49,0,0,0.15517241379310345,,
Has_Axial_Fluid_FS,Medial Meniscus,58,0,26,32,0,0,0.4482758620689655,,
Has_Axial_Fluid_FS,Lateral Meniscus,58,0,23,35,0,0,0.39655172413793105,,
Has_Axial_Fluid_FS,Medial OA,58,0,15,43,0,0,0.25862068965517243,,
Has_Axial_Fluid_FS,Lateral OA,58,0,11,47,0,0,0.1896551724137931,,
Has_Axial_Fluid_FS,PF OA,58,0,21,37,0,0,0.3620689655172414,,
Has_Axial_Fluid_FS,Effusion,58,0,35,23,0,0,0.603448275862069,,
Has_Axial_Fluid_FS,Synovitis,58,0,27,31,0,0,0.46551724137931033,,
Has_Axial_Fluid_FS,Baker's,58,0,12,46,0,0,0.20689655172413793,,
Has_Axial_Fluid_FS,Contusion,58,0,19,39,0,0,0.3275862068965517,,
Has_Axial_Fluid_FS,Fracture,58,0,18,40,0,0,0.3103448275862069,,
Has_Axial_NonFluid_NonFS,ACL,13,45,5,8,19,26,0.38461538461538464,0.4222222222222222,0.9109311740890689
Has_Axial_NonFluid_NonFS,MCL,13,45,1,12,8,37,0.07692307692307693,0.17777777777777778,0.4326923076923077
Has_Axial_NonFluid_NonFS,Medial Meniscus,13,45,8,5,18,27,0.6153846153846154,0.4,1.5384615384615385
Has_Axial_NonFluid_NonFS,Lateral Meniscus,13,45,5,8,18,27,0.38461538461538464,0.4,0.9615384615384616
Has_Axial_NonFluid_NonFS,Medial OA,13,45,4,9,11,34,0.3076923076923077,0.24444444444444444,1.2587412587412588
Has_Axial_NonFluid_NonFS,Lateral OA,13,45,3,10,8,37,0.23076923076923078,0.17777777777777778,1.2980769230769231
Has_Axial_NonFluid_NonFS,PF OA,13,45,5,8,16,29,0.38461538461538464,0.35555555555555557,1.0817307692307692
Has_Axial_NonFluid_NonFS,Effusion,13,45,7,6,28,17,0.5384615384615384,0.6222222222222222,0.8653846153846153
Has_Axial_NonFluid_NonFS,Synovitis,13,45,8,5,19,26,0.6153846153846154,0.4222222222222222,1.45748987854251
Has_Axial_NonFluid_NonFS,Baker's,13,45,3,10,9,36,0.23076923076923078,0.2,1.1538461538461537
Has_Axial_NonFluid_NonFS,Contusion,13,45,4,9,15,30,0.3076923076923077,0.3333333333333333,0.9230769230769231
Has_Axial_NonFluid_NonFS,Fracture,13,45,2,11,16,29,0.15384615384615385,0.35555555555555557,0.4326923076923077
Has_Coronal_Fluid_FS,ACL,56,2,22,34,2,0,0.39285714285714285,1.0,0.39285714285714285
Has_Coronal_Fluid_FS,MCL,56,2,8,48,1,1,0.14285714285714285,0.5,0.2857142857142857
Has_Coronal_Fluid_FS,Medial Meniscus,56,2,25,31,1,1,0.44642857142857145,0.5,0.8928571428571429
Has_Coronal_Fluid_FS,Lateral Meniscus,56,2,23,33,0,2,0.4107142857142857,0.0,
Has_Coronal_Fluid_FS,Medial OA,56,2,15,41,0,2,0.26785714285714285,0.0,
Has_Coronal_Fluid_FS,Lateral OA,56,2,10,46,1,1,0.17857142857142858,0.5,0.35714285714285715
Has_Coronal_Fluid_FS,PF OA,56,2,21,35,0,2,0.375,0.0,
Has_Coronal_Fluid_FS,Effusion,56,2,33,23,2,0,0.5892857142857143,1.0,0.5892857142857143
Has_Coronal_Fluid_FS,Synovitis,56,2,26,30,1,1,0.4642857142857143,0.5,0.9285714285714286
Has_Coronal_Fluid_FS,Baker's,56,2,12,44,0,2,0.21428571428571427,0.0,
Has_Coronal_Fluid_FS,Contusion,56,2,18,38,1,1,0.32142857142857145,0.5,0.6428571428571429
Has_Coronal_Fluid_FS,Fracture,56,2,17,39,1,1,0.30357142857142855,0.5,0.6071428571428571
Has_Coronal_NonFluid_NonFS,ACL,45,13,18,27,6,7,0.4,0.46153846153846156,0.8666666666666667
Has_Coronal_NonFluid_NonFS,MCL,45,13,7,38,2,11,0.15555555555555556,0.15384615384615385,1.011111111111111
