PlaneFeature,Label,Studies,Positive,Prevalence
Has_Sagittal,ACL,58,24,0.41379310344827586
Has_Sagittal,MCL,58,9,0.15517241379310345
Has_Sagittal,Medial Meniscus,58,26,0.4482758620689655
Has_Sagittal,Lateral Meniscus,58,23,0.39655172413793105
Has_Sagittal,Medial OA,58,15,0.25862068965517243
Has_Sagittal,Lateral OA,58,11,0.1896551724137931
Has_Sagittal,PF OA,58,21,0.3620689655172414
Has_Sagittal,Effusion,58,35,0.603448275862069
Has_Sagittal,Synovitis,58,27,0.46551724137931033
Has_Sagittal,Baker's,58,12,0.20689655172413793
Has_Sagittal,Contusion,58,19,0.3275862068965517
Has_Sagittal,Fracture,58,18,0.3103448275862069
Has_Coronal,ACL,58,24,0.41379310344827586
Has_Coronal,MCL,58,9,0.15517241379310345
Has_Coronal,Medial Meniscus,58,26,0.4482758620689655
Has_Coronal,Lateral Meniscus,58,23,0.39655172413793105
Has_Coronal,Medial OA,58,15,0.25862068965517243
Has_Coronal,Lateral OA,58,11,0.1896551724137931
Has_Coronal,PF OA,58,21,0.3620689655172414
Has_Coronal,Effusion,58,35,0.603448275862069
Has_Coronal,Synovitis,58,27,0.46551724137931033
Has_Coronal,Baker's,58,12,0.20689655172413793
Has_Coronal,Contusion,58,19,0.3275862068965517
Has_Coronal,Fracture,58,18,0.3103448275862069
Has_Axial,ACL,58,24,0.41379310344827586
Has_Axial,MCL,58,9,0.15517241379310345
Has_Axial,Medial Meniscus,58,26,0.4482758620689655
Has_Axial,Lateral Meniscus,58,23,0.39655172413793105
Has_Axial,Medial OA,58,15,0.25862068965517243
Has_Axial,Lateral OA,58,11,0.1896551724137931
Has_Axial,PF OA,58,21,0.3620689655172414
Has_Axial,Effusion,58,35,0.603448275862069
Has_Axial,Synovitis,58,27,0.46551724137931033
Has_Axial,Baker's,58,12,0.20689655172413793
Has_Axial,Contusion,58,19,0.3275862068965517
Has_Axial,Fracture,58,18,0.3103448275862069
