Manufacturer,ManufacturerModelName,MagneticFieldStrength,SeriesCount,StudyCount
Philips Medical Systems,Ingenia,3.0,31,6
Philips,Achieva dStream,3.0,43,5
Siemens Healthineers,MAGNETOM Vida,3.0,28,5
GE MEDICAL SYSTEMS,SIGNA EXCITE,1.5,21,3
SIEMENS,Aera,1.5,19,3
SIEMENS,Skyra,3.0,17,3
GE MEDICAL SYSTEMS,Optima MR450w,,15,3
GE MEDICAL SYSTEMS,SIGNA Explorer,1.5,15,3
SIEMENS,SonataVision,1.5,14,3
Philips Healthcare,Ingenia,3.0,12,2
Siemens Healthineers,MAGNETOM Avanto fit,1.5,10,2
Siemens Healthineers,MAGNETOM Sempra,1.5,10,2
GE MEDICAL SYSTEMS,SIGNA Artist,1.5,9,2
GE MEDICAL SYSTEMS,SIGNA Architect,3.0,9,1
Philips,Ingenia Ambition X,1.5,9,1
CANON_MEC,Galan 3T,3.0,7,1
GE MEDICAL SYSTEMS,Optima MR450w,1.5,7,1
Philips,Ingenia,1.5,6,1
Philips Medical Systems,Achieva,1.5,6,1
Philips Medical Systems,Ingenia,1.5,6,1
GE MEDICAL SYSTEMS,SIGNA EXCITE,,5,1
GE MEDICAL SYSTEMS,SIGNA Voyager,1.5,5,1
GE MEDICAL SYSTEMS,Signa HDxt,,5,1
SIEMENS,Biograph_mMR,3.0,5,1
SIEMENS,Verio_DOT,3.0,5,1
TOSHIBA,Vantage,,5,1
Philips Medical Systems,Achieva dStream,1.5,4,1
Siemens Healthineers,MAGNETOM Aera,1.5,4,1
Siemens Healthineers,MAGNETOM Skyra,3.0,4,1
