StudyInstanceUID,SeriesInstanceUID,Plane,FluidSensitive,FatSuppression,DescriptionType,SeriesDescription,Manufacturer,Scanner,Slices,VolumeShape,OutputImage
1.2.826.0.1.3680043.8.498.17844546765907321649997094867791102711,1.2.826.0.1.3680043.8.498.11261251202884490916489531421908521865,Coronal,0,0,Dummy,DummySeriesDesc!,GE MEDICAL SYSTEMS,SIGNA Architect,30,"(30, 1024, 1024)",/kaggle/working/rsna_image_level_audit/DUMMY_STUDY_08521865.png
1.2.826.0.1.3680043.8.498.17844546765907321649997094867791102711,1.2.826.0.1.3680043.8.498.12647596472796287171744368208436290003,Sagittal,0,0,Dummy,DummySeriesDesc!,GE MEDICAL SYSTEMS,SIGNA Architect,136,"(136, 512, 512)",/kaggle/working/rsna_image_level_audit/DUMMY_STUDY_36290003.png
1.2.826.0.1.3680043.8.498.17844546765907321649997094867791102711,1.2.826.0.1.3680043.8.498.18449110770459991745936951397216109055,Coronal,1,1,Dummy,DummySeriesDesc!,GE MEDICAL SYSTEMS,SIGNA Architect,30,"(30, 1024, 1024)",/kaggle/working/rsna_image_level_audit/DUMMY_STUDY_16109055.png
1.2.826.0.1.3680043.8.498.17844546765907321649997094867791102711,1.2.826.0.1.3680043.8.498.42927162914563423947167748937620376779,Axial,1,1,Dummy,DummySeriesDesc!,GE MEDICAL SYSTEMS,SIGNA Architect,30,"(30, 1024, 1024)",/kaggle/working/rsna_image_level_audit/DUMMY_STUDY_20376779.png
1.2.826.0.1.3680043.8.498.17844546765907321649997094867791102711,1.2.826.0.1.3680043.8.498.43772087715797110907700007293827052431,Sagittal,1,1,Dummy,DummySeriesDesc!,GE MEDICAL SYSTEMS,SIGNA Architect,28,"(28, 1024, 1024)",/kaggle/working/rsna_image_level_audit/DUMMY_STUDY_27052431.png
1.2.826.0.1.3680043.8.498.17844546765907321649997094867791102711,1.2.826.0.1.3680043.8.498.50541620645720855824205648399443392422,Sagittal,0,0,Dummy,DummySeriesDesc!,GE MEDICAL SYSTEMS,SIGNA Architect,130,"(130, 512, 512)",/kaggle/working/rsna_image_level_audit/DUMMY_STUDY_43392422.png
1.2.826.0.1.3680043.8.498.17844546765907321649997094867791102711,1.2.826.0.1.3680043.8.498.78694137355734392084709645092123826539,Sagittal,0,0,Dummy,DummySeriesDesc!,GE MEDICAL SYSTEMS,SIGNA Architect,130,"(130, 512, 512)",/kaggle/working/rsna_image_level_audit/DUMMY_STUDY_23826539.png
1.2.826.0.1.3680043.8.498.17844546765907321649997094867791102711,1.2.826.0.1.3680043.8.498.91788561458986377357724485302758393770,Sagittal,1,1,Dummy,DummySeriesDesc!,GE MEDICAL SYSTEMS,SIGNA Architect,28,"(28, 1024, 1024)",/kaggle/working/rsna_image_level_audit/DUMMY_STUDY_58393770.png
1.2.826.0.1.3680043.8.498.17844546765907321649997094867791102711,1.2.826.0.1.3680043.8.498.95606550916008567790627612199625980395,Coronal,1,1,Dummy,DummySeriesDesc!,GE MEDICAL SYSTEMS,SIGNA Architect,30,"(30, 1024, 1024)",/kaggle/working/rsna_image_level_audit/DUMMY_STUDY_25980395.png
1.2.826.0.1.3680043.8.498.16060119389060497136231217718921482192,1.2.826.0.1.3680043.8.498.10114318007378072154267323023488130369,Sagittal,1,1,Blank,<BLANK>,CANON_MEC,Galan 3T,32,"(32, 736, 736)",/kaggle/working/rsna_image_level_audit/BLANK_STUDY_88130369.png
1.2.826.0.1.3680043.8.498.16060119389060497136231217718921482192,1.2.826.0.1.3680043.8.498.10800916297806196226204914061473420340,Axial,1,1,Blank,<BLANK>,CANON_MEC,Galan 3T,35,"(35, 896, 896)",/kaggle/working/rsna_image_level_audit/BLANK_STUDY_73420340.png
1.2.826.0.1.3680043.8.498.16060119389060497136231217718921482192,1.2.826.0.1.3680043.8.498.11844032892710836502823802081213979899,Sagittal,0,0,Blank,<BLANK>,CANON_MEC,Galan 3T,32,"(32, 768, 768)",/kaggle/working/rsna_image_level_audit/BLANK_STUDY_13979899.png
1.2.826.0.1.3680043.8.498.16060119389060497136231217718921482192,1.2.826.0.1.3680043.8.498.56489188975219855943731152460524612324,Coronal,1,1,Blank,<BLANK>,CANON_MEC,Galan 3T,35,"(35, 768, 768)",/kaggle/working/rsna_image_level_audit/BLANK_STUDY_24612324.png
1.2.826.0.1.3680043.8.498.16060119389060497136231217718921482192,1.2.826.0.1.3680043.8.498.75266919254774703903096233357689465742,Axial,0,0,Blank,<BLANK>,CANON_MEC,Galan 3T,35,"(35, 832, 832)",/kaggle/working/rsna_image_level_audit/BLANK_STUDY_89465742.png
1.2.826.0.1.3680043.8.498.16060119389060497136231217718921482192,1.2.826.0.1.3680043.8.498.82999681476036202881857678022765229979,Coronal,0,0,Blank,<BLANK>,CANON_MEC,Galan 3T,35,"(35, 768, 768)",/kaggle/working/rsna_image_level_audit/BLANK_STUDY_65229979.png
1.2.826.0.1.3680043.8.498.16060119389060497136231217718921482192,1.2.826.0.1.3680043.8.498.98361555428040875788860183899606219732,Axial,0,0,Blank,<BLANK>,CANON_MEC,Galan 3T,35,"(35, 832, 832)",/kaggle/working/rsna_image_level_audit/BLANK_STUDY_06219732.png
