ScannerModels,CORE_4_ONLY,CORE_4_PLUS_BOTH_OPTIONAL,CORE_4_PLUS_CORONAL_NONFLUID,INCOMPLETE_CORE_3
Achieva,0,0,1,0
Achieva dStream,0,5,0,1
Aera,0,1,2,0
Biograph_mMR,0,0,1,0
Galan 3T,0,1,0,0
Ingenia,3,0,7,0
Ingenia Ambition X,0,1,0,0
MAGNETOM Aera,1,0,0,0
MAGNETOM Avanto fit,0,0,0,2
MAGNETOM Sempra,0,0,2,0
MAGNETOM Skyra,0,0,0,1
MAGNETOM Vida,0,0,5,0
Optima MR450w,3,0,1,0
SIGNA Architect,0,0,1,0
SIGNA Artist,1,0,1,0
SIGNA EXCITE,1,3,0,0
SIGNA Explorer,0,0,3,0
SIGNA Voyager,0,0,1,0
Signa HDxt,1,0,0,0
Skyra,0,0,3,0
SonataVision,0,0,2,1
Vantage,1,0,0,0
Verio_DOT,0,0,1,0
