AcquisitionFeature,ManufacturerFamily,Studies,Present,PercentagePresent
Has_Coronal_NonFluid_NonFS,Canon,1,1,100.0
Has_Coronal_NonFluid_NonFS,GE,16,10,62.5
Has_Coronal_NonFluid_NonFS,Philips,18,15,83.33333333333334
Has_Coronal_NonFluid_NonFS,Siemens,22,19,86.36363636363636
Has_Coronal_NonFluid_NonFS,Toshiba,1,0,0.0
Has_Axial_NonFluid_NonFS,Canon,1,1,100.0
Has_Axial_NonFluid_NonFS,GE,16,3,18.75
Has_Axial_NonFluid_NonFS,Philips,18,6,33.33333333333333
Has_Axial_NonFluid_NonFS,Siemens,22,3,13.636363636363635
Has_Axial_NonFluid_NonFS,Toshiba,1,0,0.0
