FieldStrength,StudyCount,Label,PositiveCount,Prevalence
1.5,26,ACL,8,0.3076923076923077
1.5,26,MCL,5,0.19230769230769232
1.5,26,Medial Meniscus,15,0.5769230769230769
1.5,26,Lateral Meniscus,9,0.34615384615384615
1.5,26,Medial OA,8,0.3076923076923077
1.5,26,Lateral OA,4,0.15384615384615385
1.5,26,PF OA,10,0.38461538461538464
1.5,26,Effusion,18,0.6923076923076923
1.5,26,Synovitis,16,0.6153846153846154
1.5,26,Baker's,6,0.23076923076923078
1.5,26,Contusion,8,0.3076923076923077
1.5,26,Fracture,7,0.2692307692307692
3.0,26,ACL,13,0.5
3.0,26,MCL,3,0.11538461538461539
3.0,26,Medial Meniscus,9,0.34615384615384615
3.0,26,Lateral Meniscus,12,0.46153846153846156
3.0,26,Medial OA,7,0.2692307692307692
3.0,26,Lateral OA,7,0.2692307692307692
3.0,26,PF OA,10,0.38461538461538464
3.0,26,Effusion,13,0.5
3.0,26,Synovitis,10,0.38461538461538464
3.0,26,Baker's,6,0.23076923076923078
3.0,26,Contusion,8,0.3076923076923077
3.0,26,Fracture,8,0.3076923076923077
Unknown,6,ACL,3,0.5
Unknown,6,MCL,1,0.16666666666666666
Unknown,6,Medial Meniscus,2,0.3333333333333333
Unknown,6,Lateral Meniscus,2,0.3333333333333333
Unknown,6,Medial OA,0,0.0
Unknown,6,Lateral OA,0,0.0
Unknown,6,PF OA,1,0.16666666666666666
Unknown,6,Effusion,4,0.6666666666666666
Unknown,6,Synovitis,1,0.16666666666666666
Unknown,6,Baker's,0,0.0
Unknown,6,Contusion,3,0.5
Unknown,6,Fracture,3,0.5
