Language,Rank,Term,CorpusCount,ReportCountInLanguage
bg,1,на,3149,220
bg,2,мр,799,220
bg,3,за,697,220
bg,4,данни,670,220
bg,5,данни за,665,220
bg,6,се,650,220
bg,7,менискус,649,220
bg,8,мр данни,550,220
bg,9,рог,509,220
bg,10,пателата,493,220
bg,11,рог на,473,220
bg,12,медиалния,472,220
bg,13,нормално,421,220
bg,14,на пателата,413,220
bg,15,на медиалния,392,220
bg,16,изобразяване,389,220
bg,17,нормално изобразяване,386,220
bg,18,хрущял,361,220
bg,19,тибията,353,220
bg,20,ставен,340,220
bg,21,медиалния менискус,332,220
bg,22,излив,325,220
bg,23,ставен излив,319,220
bg,24,задния,311,220
bg,25,фемура,306,220
bg,26,са,298,220
bg,27,задния рог,295,220
bg,28,хрущял на,272,220
bg,29,изобразяване на,259,220
bg,30,става,256,220
bg,31,интензитет,247,220
bg,32,лезия,236,220
bg,33,латералния,236,220
bg,34,лигамент,232,220
bg,35,на фемура,231,220
bg,36,находка,229,220
bg,37,едем,225,220
bg,38,заключение,220,220
bg,39,мр находка,220,220
bg,40,връзка,218,220
bg,41,със,210,220
bg,42,кръстна,203,220
bg,43,заключение мр,203,220
bg,44,кръстна връзка,201,220
bg,45,форма,196,220
bg,46,запазена,196,220
bg,47,до,189,220
bg,48,на латералния,184,220
bg,49,от,182,220
bg,50,сигнален,181,220
bg,51,сигнален интензитет,179,220
bg,52,киста,178,220
bg,53,ретинакулуми,178,220
bg,54,без,178,220
bg,55,лигаменти,177,220
bg,56,със запазена,176,220
bg,57,костите,175,220
bg,58,формиращи,172,220
bg,59,промени,171,220
bg,60,колянна,170,220
bg,61,колянна става,168,220
bg,62,костите формиращи,167,220
bg,63,вижда,167,220
bg,64,латералния менискус,161,220
bg,65,колатерални,158,220
bg,66,сухожилие,158,220
bg,67,сухожилие на,156,220
bg,68,на тибията,155,220
bg,69,нормална,155,220
bg,70,цялост,152,220
bg,71,квадрицепс,152,220
bg,72,запазена цялост,150,220
bg,73,феморис,147,220
bg,74,няма,145,220
bg,75,квадрицепс феморис,144,220
bg,76,нормална форма,143,220
bg,77,колатерални лигаменти,142,220
bg,78,костномозъчен едем,139,220
bg,79,наличие,139,220
bg,80,костномозъчен,139,220
bg,81,лигамент на,138,220
bg,82,наличие на,137,220
bg,83,фемура тибията,136,220
bg,84,връзки,136,220
bg,85,става са,135,220
bg,86,са нормална,132,220
bg,87,менискуса,131,220
bg,88,по,127,220
bg,89,на квадрицепс,124,220
bg,90,особености,117,220
bg,91,патела,117,220
bg,92,малък,116,220
bg,93,без особености,116,220
bg,94,изобразява,113,220
bg,95,за ставен,113,220
bg,96,увреда,112,220
bg,97,страна,111,220
bg,98,кондил,109,220
bg,99,степен,109,220
bg,100,дегенеративни,109,220
bs,1,signala,279,75
bs,2,medijalnog,179,75
bs,3,se,176,75
bs,4,uz,173,75
bs,5,ligamenta,164,75
bs,6,je,147,75
bs,7,intenziteta,130,75
bs,8,intenziteta signala,126,75
bs,9,hrskavice,122,75
bs,10,lateralnog,120,75
bs,11,edem,108,75
bs,12,ligament,107,75
bs,13,stupnja,99,75
bs,14,femura,97,75
bs,15,te,96,75
bs,16,lateralni,96,75
bs,17,ruptura,93,75
bs,18,tetive,93,75
bs,19,hondromalacija,91,75
bs,20,bez,89,75
bs,21,rupture,86,75
bs,22,meniska,85,75
bs,23,kondila,82,75
bs,24,su,81,75
bs,25,znakova,78,75
bs,26,medijalni,76,75
bs,27,menisk,76,75
bs,28,tibije,75,75
bs,29,intenzitet,75,75
bs,30,platoa,73,75
bs,31,stražnjeg,72,75
bs,32,intenzitet signala,72,75
bs,33,križni,71,75
bs,34,na,71,75
bs,35,bez znakova,70,75
bs,36,kontinuitetu,68,75
bs,37,patele,67,75
bs,38,križni ligament,67,75
bs,39,patelarnog,61,75
bs,40,izljev,61,75
bs,41,promjene,60,75
bs,42,mm,59,75
bs,43,zgloba,57,75
bs,44,kvadricepsa,56,75
bs,45,dijela,55,75
bs,46,roga,55,75
bs,47,križnog,54,75
bs,48,patelarnog ligamenta,54,75
bs,49,križnog ligamenta,53,75
bs,50,prednjeg,52,75
bs,51,urednog,50,75
bs,52,cista,50,75
bs,53,te se,50,75
bs,54,kondila femura,50,75
bs,55,nalazi se,50,75
bs,56,nalazi,50,75
bs,57,kolateralni,49,75
bs,58,hvatištu,48,75
bs,59,tetive kvadricepsa,48,75
bs,60,prati,47,75
bs,61,tijela,47,75
bs,62,uredan,47,75
bs,63,urednog signala,46,75
bs,64,platoa tibije,46,75
bs,65,hvatišta,46,75
bs,66,signala te,46,75
bs,67,stražnji,45,75
bs,68,lateralni menisk,45,75
bs,69,iii,45,75
bs,70,morfologije,45,75
bs,71,manji,44,75
bs,72,promjena,44,75
bs,73,ciste,44,75
bs,74,kolateralnog,44,75
bs,75,uredne,40,75
bs,76,uredan intenzitet,40,75
bs,77,morfologije intenziteta,40,75
bs,78,prednji,39,75
bs,79,sklopu,39,75
bs,80,stražnji križni,39,75
bs,81,uredna,39,75
bs,82,degeneracije,39,75
bs,83,koštani,38,75
bs,84,fasete,38,75
bs,85,stražnjeg roga,38,75
bs,86,kolateralnog ligamenta,38,75
bs,87,koštane,38,75
bs,88,iliotibijalnog,38,75
bs,89,medijalnog meniska,38,75
bs,90,se prati,37,75
bs,91,ii,36,75
bs,92,prati kontinuitetu,36,75
bs,93,koštani edem,36,75
bs,94,ili,35,75
bs,95,smislu,35,75
bs,96,medijalne,34,75
bs,97,za,34,75
bs,98,znakova rupture,34,75
bs,99,poplitealne,34,75
bs,100,ligament urednog,33,75
de,1,der,892,262
de,2,und,775,262
de,3,des,509,262
de,4,mit,427,262
de,5,im,370,262
de,6,in,334,262
de,7,intakt,279,262
de,8,darstellung,267,262
de,9,medialen,267,262
de,10,kein,262,262
de,11,chondropathie,235,262
de,12,an,235,262
de,13,am,231,262
de,14,intakter,225,262
de,15,keine,214,262
de,16,sowie,196,262
de,17,knochenmarksignal,195,262
de,18,regelrechte,193,262
de,19,regelrechtes,191,262
de,20,in der,189,262
de,21,lateralen,188,262
de,22,kompartiment,188,262
de,23,kreuzbänder,182,262
de,24,an der,181,262
de,25,regelrechtes knochenmarksignal,168,262
de,26,ohne,161,262
de,27,gelenkerguss,149,262
de,28,bei,149,262
de,29,rissbildung,149,262
de,30,knorpel,146,262
de,31,innenmeniskus,141,262
de,32,intakte,138,262
de,33,außenmeniskus,136,262
de,34,serie image,131,262
de,35,image,131,262
de,36,unauffällige,131,262
