Label,PositiveCount,NegativeCount,PositiveMedianWords,NegativeMedianWords,PositiveLanguages,NegativeLanguages
ACL,24,34,145.5,164.0,bg|de|el|en|es|hr|nl|tr,bg|de|el|en|es|hr|tr
MCL,9,49,170.0,149.0,el|en|es|nl,bg|de|el|en|es|hr|nl|tr
Medial Meniscus,26,32,159.5,157.0,bg|de|el|en|hr|nl|tr,bg|el|en|es|hr|nl|tr
Lateral Meniscus,23,35,194.0,136.0,el|en|es|hr|nl|tr,bg|de|el|en|es|hr|tr
Medial OA,15,43,202.0,148.0,el|en|es|hr|nl|tr,bg|de|el|en|es|hr|nl|tr
Lateral OA,11,47,212.0,148.0,en|es|hr|nl,bg|de|el|en|es|hr|nl|tr
PF OA,21,37,161.0,159.0,bg|de|el|en|es|hr|nl|tr,bg|de|el|en|es|hr|nl|tr
Effusion,35,23,160.0,149.0,bg|de|el|en|es|hr|nl|tr,bg|de|en|es|hr|tr
Synovitis,27,31,148.0,167.0,bg|de|el|en|es|hr|nl|tr,bg|en|es|hr|tr
Baker's,12,46,154.0,160.0,bg|de|el|en|hr|nl|tr,bg|de|el|en|es|hr|nl|tr
Contusion,19,39,159.0,160.0,bg|de|el|en|hr|nl|tr,bg|de|el|en|es|hr|nl|tr
Fracture,18,40,132.0,166.0,bg|de|el|en|es|hr|tr,bg|de|el|en|es|hr|nl|tr
