Label,GoldPositive,GoldNegative,ReportPositive,ReportNegativeExplicit,DecidableN,DecidableCoverage,AccuracyAmongDecidable,ReportPositivePPV,ReportPositivePPV_WilsonLow,ReportPositivePPV_WilsonHigh,ReportNegativeNPV,ReportNegativeNPV_WilsonLow,ReportNegativeNPV_WilsonHigh,GoldPositiveExplicitCaptureRate,GoldNegativeExplicitCaptureRate,DiscordantReportPositiveGoldNegative,DiscordantReportNegativeGoldPositive,GoldPositiveNotCaptured,Mixed,Uncertain,RelatedAbnormality,NotMentioned
ACL,24,34,26,13,39,0.6724137931034483,0.8974358974358975,0.8461538461538461,0.6646841558168644,0.9385006600107053,1.0,0.7718981569447083,1.0,0.9166666666666666,0.38235294117647056,4,0,2,0,0,0,14
MCL,9,49,14,15,29,0.5,0.7931034482758621,0.5714285714285714,0.3259026690286936,0.7861949006959948,1.0,0.7961107336956521,1.0,0.8888888888888888,0.30612244897959184,6,0,0,0,1,0,20
Medial Meniscus,26,32,22,4,26,0.4482758620689655,0.8461538461538461,0.8181818181818182,0.6148297802336213,0.9269323397589488,1.0,0.5100999795960008,1.0,0.6923076923076923,0.125,4,0,5,1,1,3,18
Lateral Meniscus,23,35,23,13,36,0.6206896551724138,0.6944444444444444,0.5652173913043478,0.3681104930501695,0.7436563166780135,0.9230769230769231,0.6668546607175265,0.9862899336203037,0.5652173913043478,0.34285714285714286,10,1,4,0,2,4,14
Medial OA,15,43,7,1,8,0.13793103448275862,0.875,0.8571428571428571,0.48686549668097007,0.9743210440510253,1.0,0.20654329147389294,1.0,0.4,0.023255813953488372,1,0,9,0,0,0,50
Lateral OA,11,47,2,1,3,0.05172413793103448,0.6666666666666666,0.5,0.09452865480086614,0.9054713451991339,1.0,0.20654329147389294,1.0,0.09090909090909091,0.02127659574468085,1,0,10,0,0,0,55
PF OA,21,37,10,0,10,0.1724137931034483,0.9,0.9,0.5958436145024278,0.9821242504842788,,,,0.42857142857142855,0.0,1,0,12,0,0,0,48
Effusion,35,23,40,8,48,0.8275862068965517,0.6875,0.675,0.52017458088898,0.7991568303733828,0.75,0.40926987910258916,0.9285223111419724,0.7714285714285715,0.2608695652173913,13,2,6,1,0,0,9
Synovitis,27,31,15,0,15,0.25862068965517243,0.7333333333333333,0.7333333333333333,0.4804911034231324,0.8910272389681718,,,,0.4074074074074074,0.0,4,0,16,0,0,0,43
Baker's,12,46,15,7,22,0.3793103448275862,0.7727272727272727,0.6666666666666666,0.41713125151212976,0.8482389930530876,1.0,0.6456611570247934,1.0,0.8333333333333334,0.15217391304347827,5,0,2,0,0,0,36
Contusion,19,39,15,8,23,0.39655172413793105,0.782608695652174,0.6666666666666666,0.41713125151212976,0.8482389930530876,1.0,0.6755843804891231,1.0,0.5263157894736842,0.20512820512820512,5,0,1,1,5,9,20
Fracture,18,40,14,6,20,0.3448275862068966,0.8,0.7142857142857143,0.4535045882751561,0.882788120898909,1.0,0.6096569663469354,0.9999999999999999,0.5555555555555556,0.15,4,0,6,3,1,0,34
