Language,Label,StudyCount,GoldPositive,AnyMentionCoverage,DecidableCoverage,ReportPositive,ReportNegative,UncertainOrMixed
bcs,ACL,4,1,0.75,0.25,0,1,0
bcs,Baker's,4,2,1.0,1.0,3,1,0
bcs,Contusion,4,1,0.5,0.0,0,0,0
bcs,Effusion,4,2,0.5,0.5,2,0,0
bcs,Fracture,4,1,0.25,0.25,1,0,0
bcs,Lateral Meniscus,4,1,0.75,0.75,2,1,0
bcs,Lateral OA,4,1,0.25,0.25,1,0,0
bcs,MCL,4,0,1.0,0.0,0,0,0
bcs,Medial Meniscus,4,3,0.5,0.25,1,0,0
bcs,Medial OA,4,3,0.25,0.25,1,0,0
bcs,PF OA,4,2,0.25,0.25,1,0,0
bcs,Synovitis,4,2,0.0,0.0,0,0,0
bg,ACL,3,2,0.6666666666666666,0.6666666666666666,2,0,0
bg,Baker's,3,1,0.0,0.0,0,0,0
bg,Contusion,3,2,1.0,0.6666666666666666,2,0,0
bg,Effusion,3,2,1.0,1.0,3,0,0
bg,Fracture,3,2,1.0,1.0,3,0,0
bg,Lateral Meniscus,3,0,0.3333333333333333,0.3333333333333333,1,0,0
bg,Lateral OA,3,0,0.0,0.0,0,0,0
bg,MCL,3,0,0.0,0.0,0,0,0
bg,Medial Meniscus,3,1,0.3333333333333333,0.0,0,0,1
bg,Medial OA,3,0,0.0,0.0,0,0,0
bg,PF OA,3,1,0.0,0.0,0,0,0
bg,Synovitis,3,1,0.0,0.0,0,0,0
de,ACL,2,1,1.0,0.5,1,0,0
de,Baker's,2,1,1.0,1.0,2,0,0
de,Contusion,2,1,0.5,0.5,1,0,0
de,Effusion,2,1,1.0,1.0,2,0,0
de,Fracture,2,1,0.0,0.0,0,0,0
de,Lateral Meniscus,2,0,0.5,0.0,0,0,1
de,Lateral OA,2,0,0.0,0.0,0,0,0
de,MCL,2,0,0.5,0.0,0,0,0
de,Medial Meniscus,2,2,1.0,1.0,2,0,0
de,Medial OA,2,0,0.5,0.5,1,0,0
de,PF OA,2,1,0.0,0.0,0,0,0
de,Synovitis,2,2,0.0,0.0,0,0,0
el,ACL,3,1,0.3333333333333333,0.3333333333333333,1,0,0
el,Baker's,3,1,0.6666666666666666,0.6666666666666666,2,0,0
el,Contusion,3,2,1.0,0.3333333333333333,1,0,1
el,Effusion,3,3,0.6666666666666666,0.6666666666666666,2,0,0
el,Fracture,3,1,0.6666666666666666,0.3333333333333333,1,0,1
el,Lateral Meniscus,3,2,0.3333333333333333,0.0,0,0,0
el,Lateral OA,3,0,0.0,0.0,0,0,0
el,MCL,3,1,0.3333333333333333,0.3333333333333333,1,0,0
el,Medial Meniscus,3,2,0.6666666666666666,0.0,0,0,0
el,Medial OA,3,2,0.6666666666666666,0.6666666666666666,2,0,0
el,PF OA,3,1,0.3333333333333333,0.3333333333333333,1,0,0
el,Synovitis,3,3,0.3333333333333333,0.3333333333333333,1,0,0
