Label,TotalGoldStudies,AnyEvidenceCount,AnyEvidenceCoverage,GoldPositiveWithoutAnyEvidence,GoldNegativeWithoutAnyEvidence
ACL,58,44,0.7586206896551724,2,12
MCL,58,38,0.6551724137931034,0,20
Medial Meniscus,58,40,0.6896551724137931,5,13
Lateral Meniscus,58,44,0.7586206896551724,4,10
Medial OA,58,8,0.13793103448275862,9,41
Lateral OA,58,3,0.05172413793103448,10,45
PF OA,58,10,0.1724137931034483,12,36
Effusion,58,49,0.8448275862068966,6,3
Synovitis,58,15,0.25862068965517243,16,27
Baker's,58,22,0.3793103448275862,2,34
Contusion,58,38,0.6551724137931034,1,19
Fracture,58,24,0.41379310344827586,6,28
