Label,ReviewerReportAssertion,N,GoldPositive,GoldNegative,P_GoldPositive,P_GoldPositive_WilsonLow,P_GoldPositive_WilsonHigh,P_GoldNegative
ACL,positive,7,4,3,0.5714285714285714,0.2504542304090258,0.8417830777373732,0.42857142857142855
ACL,related_abnormality,1,0,1,0.0,0.0,0.7934567085261071,1.0
ACL,uncertain,2,1,1,0.5,0.09452865480086614,0.9054713451991339,0.5
Baker's,negative,1,0,1,0.0,0.0,0.7934567085261071,1.0
Baker's,not_mentioned,1,1,0,1.0,0.20654329147389294,1.0,0.0
Baker's,positive,8,3,5,0.375,0.13684175946152105,0.6942621454161981,0.625
Contusion,negative,1,0,1,0.0,0.0,0.7934567085261071,1.0
Contusion,positive,7,2,5,0.2857142857142857,0.0822171657090155,0.6410709098517873,0.7142857142857143
Contusion,related_abnormality,5,3,2,0.6,0.23071993220883708,0.8823817688407467,0.4
Effusion,mixed,1,0,1,0.0,0.0,0.7934567085261071,1.0
Effusion,negative,1,0,1,0.0,0.0,0.7934567085261071,1.0
Effusion,positive,10,5,5,0.5,0.23658959361548731,0.7634104063845126,0.5
Fracture,negative,1,0,1,0.0,0.0,0.7934567085261071,1.0
Fracture,positive,7,2,5,0.2857142857142857,0.0822171657090155,0.6410709098517873,0.7142857142857143
Fracture,related_abnormality,2,2,0,1.0,0.34237195288961925,1.0,0.0
Fracture,uncertain,2,1,1,0.5,0.09452865480086614,0.9054713451991339,0.5
Lateral Meniscus,negative,3,1,2,0.3333333333333333,0.0614903152761605,0.7923450448735121,0.6666666666666666
Lateral Meniscus,not_mentioned,1,1,0,1.0,0.20654329147389294,1.0,0.0
Lateral Meniscus,positive,3,2,1,0.6666666666666666,0.2076549551264879,0.9385096847238394,0.3333333333333333
Lateral Meniscus,related_abnormality,4,1,3,0.25,0.045586062644636216,0.6993639475573634,0.75
Lateral Meniscus,uncertain,1,0,1,0.0,0.0,0.7934567085261071,1.0
Lateral OA,negative,1,0,1,0.0,0.0,0.7934567085261071,1.0
Lateral OA,positive,4,3,1,0.75,0.3006360524426366,0.9544139373553637,0.25
Lateral OA,related_abnormality,1,1,0,1.0,0.20654329147389294,1.0,0.0
MCL,negative,3,0,3,0.0,0.0,0.5615060804490177,1.0
MCL,positive,6,1,5,0.16666666666666666,0.03005258587173032,0.563509436563646,0.8333333333333334
MCL,uncertain,1,1,0,1.0,0.20654329147389294,1.0,0.0
Medial Meniscus,mixed,1,0,1,0.0,0.0,0.7934567085261071,1.0
Medial Meniscus,negative,1,0,1,0.0,0.0,0.7934567085261071,1.0
Medial Meniscus,positive,8,6,2,0.75,0.40926987910258916,0.9285223111419724,0.25
Medial Meniscus,related_abnormality,2,0,2,0.0,0.0,0.6576280471103807,1.0
Medial OA,negative,1,0,1,0.0,0.0,0.7934567085261071,1.0
Medial OA,positive,5,5,0,1.0,0.5655085052479191,1.0,0.0
Medial OA,related_abnormality,1,0,1,0.0,0.0,0.7934567085261071,1.0
Medial OA,uncertain,1,1,0,1.0,0.20654329147389294,1.0,0.0
PF OA,negative,1,1,0,1.0,0.20654329147389294,1.0,0.0
PF OA,not_mentioned,1,1,0,1.0,0.20654329147389294,1.0,0.0
PF OA,positive,3,3,0,1.0,0.43849391955098227,1.0,0.0
PF OA,related_abnormality,1,0,1,0.0,0.0,0.7934567085261071,1.0
Synovitis,not_mentioned,3,3,0,1.0,0.43849391955098227,1.0,0.0
Synovitis,positive,5,1,4,0.2,0.03622316096978745,0.6244717358814613,0.8
Synovitis,related_abnormality,1,1,0,1.0,0.20654329147389294,1.0,0.0
