Label,CompletedN,ReviewerPositiveN,GoldPositiveAmongReviewerPositive,ReportPositivePPV,ReportPositivePPV_WilsonLow,ReportPositivePPV_WilsonHigh,ReviewerNegativeN,GoldNegativeAmongReviewerNegative,ReportNegativeNPV,ReportNegativeNPV_WilsonLow,ReportNegativeNPV_WilsonHigh,ReviewerUncertainN,ReviewerMixedN,ReviewerRelatedN,ReviewerNotMentionedN
ACL,10,7,4,0.5714285714285714,0.2504542304090258,0.8417830777373732,0,0,,,,2,0,1,0
MCL,10,6,1,0.16666666666666666,0.03005258587173032,0.563509436563646,3,3,1.0,0.43849391955098227,1.0,1,0,0,0
Medial Meniscus,12,8,6,0.75,0.40926987910258916,0.9285223111419724,1,1,1.0,0.20654329147389294,1.0,0,1,2,0
Lateral Meniscus,12,3,2,0.6666666666666666,0.2076549551264879,0.9385096847238394,3,2,0.6666666666666666,0.2076549551264879,0.9385096847238394,1,0,4,1
Medial OA,8,5,5,1.0,0.5655085052479191,1.0,1,1,1.0,0.20654329147389294,1.0,1,0,1,0
Lateral OA,6,4,3,0.75,0.3006360524426366,0.9544139373553637,1,1,1.0,0.20654329147389294,1.0,0,0,1,0
PF OA,6,3,3,1.0,0.43849391955098227,1.0,1,0,0.0,0.0,0.7934567085261071,0,0,1,1
Effusion,12,10,5,0.5,0.23658959361548731,0.7634104063845126,1,1,1.0,0.20654329147389294,1.0,0,1,0,0
Synovitis,9,5,1,0.2,0.03622316096978745,0.6244717358814613,0,0,,,,0,0,1,3
Baker's,10,8,3,0.375,0.13684175946152105,0.6942621454161981,1,1,1.0,0.20654329147389294,1.0,0,0,0,1
Contusion,13,7,2,0.2857142857142857,0.0822171657090155,0.6410709098517873,1,1,1.0,0.20654329147389294,1.0,0,0,5,0
Fracture,12,7,2,0.2857142857142857,0.0822171657090155,0.6410709098517873,1,1,1.0,0.20654329147389294,1.0,2,0,2,0
