Label,ReviewerReportAssertion,ReviewerSeverity,N,GoldPositive,GoldNegative,P_GoldPositive,P_GoldPositive_WilsonLow,P_GoldPositive_WilsonHigh
ACL,positive,complete,2,2,0,1.0,0.34237195288961925,1.0
ACL,positive,grade_2,1,0,1,0.0,0.0,0.7934567085261071
ACL,positive,mild,1,0,1,0.0,0.0,0.7934567085261071
ACL,positive,not_stated,3,2,1,0.6666666666666666,0.2076549551264879,0.9385096847238394
ACL,positive,partial,1,0,1,0.0,0.0,0.7934567085261071
ACL,related_abnormality,degenerative,1,0,1,0.0,0.0,0.7934567085261071
ACL,related_abnormality,moderate,1,0,1,0.0,0.0,0.7934567085261071
ACL,related_abnormality,severe,1,0,1,0.0,0.0,0.7934567085261071
ACL,uncertain,complete,1,1,0,1.0,0.20654329147389294,1.0
ACL,uncertain,grade_1,1,0,1,0.0,0.0,0.7934567085261071
Baker's,negative,not_stated,1,0,1,0.0,0.0,0.7934567085261071
Baker's,not_mentioned,not_stated,1,1,0,1.0,0.20654329147389294,1.0
Baker's,positive,minimal,1,0,1,0.0,0.0,0.7934567085261071
Baker's,positive,not_stated,4,2,2,0.5,0.15003570882017148,0.8499642911798285
Baker's,positive,other,3,1,2,0.3333333333333333,0.0614903152761605,0.7923450448735121
Contusion,negative,not_stated,1,0,1,0.0,0.0,0.7934567085261071
Contusion,positive,chronic,1,1,0,1.0,0.20654329147389294,1.0
Contusion,positive,minimal,1,0,1,0.0,0.0,0.7934567085261071
Contusion,positive,not_stated,5,1,4,0.2,0.03622316096978745,0.6244717358814613
Contusion,related_abnormality,mild,2,1,1,0.5,0.09452865480086614,0.9054713451991339
Contusion,related_abnormality,not_stated,2,1,1,0.5,0.09452865480086614,0.9054713451991339
Contusion,related_abnormality,severe,1,1,0,1.0,0.20654329147389294,1.0
Effusion,mixed,mild,1,0,1,0.0,0.0,0.7934567085261071
Effusion,negative,not_stated,1,0,1,0.0,0.0,0.7934567085261071
Effusion,positive,mild,2,1,1,0.5,0.09452865480086614,0.9054713451991339
Effusion,positive,minimal,2,0,2,0.0,0.0,0.6576280471103807
Effusion,positive,moderate,3,2,1,0.6666666666666666,0.2076549551264879,0.9385096847238394
Effusion,positive,not_stated,3,2,1,0.6666666666666666,0.2076549551264879,0.9385096847238394
Fracture,negative,not_stated,1,0,1,0.0,0.0,0.7934567085261071
Fracture,positive,mild,1,0,1,0.0,0.0,0.7934567085261071
Fracture,positive,not_stated,5,2,3,0.4,0.1176182311592533,0.769280067791163
Fracture,positive,other,1,0,1,0.0,0.0,0.7934567085261071
Fracture,related_abnormality,not_stated,1,1,0,1.0,0.20654329147389294,1.0
Fracture,related_abnormality,severe,1,1,0,1.0,0.20654329147389294,1.0
Fracture,uncertain,not_stated,1,1,0,1.0,0.20654329147389294,1.0
Fracture,uncertain,other,1,0,1,0.0,0.0,0.7934567085261071
Lateral Meniscus,negative,not_stated,3,1,2,0.3333333333333333,0.0614903152761605,0.7923450448735121
Lateral Meniscus,not_mentioned,not_stated,1,1,0,1.0,0.20654329147389294,1.0
Lateral Meniscus,positive,degenerative,1,1,0,1.0,0.20654329147389294,1.0
Lateral Meniscus,positive,not_stated,2,1,1,0.5,0.09452865480086614,0.9054713451991339
Lateral Meniscus,related_abnormality,degenerative,4,1,3,0.25,0.045586062644636216,0.6993639475573634
Lateral Meniscus,related_abnormality,grade_2,2,0,2,0.0,0.0,0.6576280471103807
Lateral Meniscus,uncertain,other,1,0,1,0.0,0.0,0.7934567085261071
