Label,PassFolds,PassFraction,PassedFoldIDs,MinOuterTrainEvidenceN,MaxOuterTrainEvidenceN,MeanInnerEvidenceAUROC,MinInnerEvidenceAUROC,MeanInnerEvidenceBrierImprovement,MinInnerEvidenceBrierImprovement
ACL,5,1.0,"1,2,3,4,5",30,32,0.9787003519356461,0.9615384615384615,0.16740544438650992,0.14869318602115622
MCL,5,1.0,"1,2,3,4,5",22,26,0.8571428571428571,0.773109243697479,0.051698410637891413,0.023529271212011482
Medial Meniscus,5,1.0,"1,2,3,4,5",26,28,0.8459827028454481,0.7530864197530864,0.09554472463047993,0.07048070465135423
Lateral Meniscus,5,1.0,"1,2,3,4,5",33,36,0.8181112257768604,0.75,0.08685590782112887,0.05505117657790401
Medial OA,0,0.0,,4,7,0.6875,0.5,-0.024133569029939687,-0.11197752406839556
Lateral OA,0,0.0,,0,2,1.0,1.0,0.15160185202107515,0.013979337556831728
PF OA,0,0.0,,7,10,0.22916666666666663,0.0,-0.02473813852100747,-0.03594653910088312
Effusion,5,1.0,"1,2,3,4,5",40,42,0.708830984701573,0.7011764705882353,0.031048686780739528,0.02752137569809801
Synovitis,0,0.0,,9,14,0.1338425925925926,0.07407407407407408,-0.06995420989288471,-0.09077900975258937
Baker's,5,1.0,"1,2,3,4,5",16,19,0.8526924001924001,0.8148148148148149,0.08529956216101646,0.07747081814226248
Contusion,3,0.6,"1,3,5",30,31,0.6685532212885154,0.5446428571428572,0.02472955396793327,-0.00587943918199052
Fracture,5,1.0,"1,2,3,4,5",18,23,0.7774025974025974,0.6666666666666667,0.06586326055820321,0.033300895930055335
