Variant,Label,N,Positive,Negative,AUROC,AP,Brier,PriorBrier
w23,ACL,58,24,34,0.926470588235294,0.9341966078917832,0.09646333851884575,0.2425683709869204
w23,MCL,58,9,49,0.9501133786848073,0.6563492063492063,0.09768416230993035,0.13109393579072534
w23,Medial Meniscus,58,26,32,0.8443509615384615,0.8432380103009324,0.13671821045972066,0.24732461355529128
w23,Lateral Meniscus,58,23,35,0.8155279503105589,0.753381617747689,0.1549453666138782,0.23929845422116525
w23,Medial OA,58,15,43,0.7077519379844961,0.6095239130922957,0.16562023076425506,0.1917360285374554
w23,Lateral OA,58,11,47,0.6595744680851064,0.46294996294996293,0.15252199920745635,0.1536860879904875
w23,PF OA,58,21,37,0.7496782496782496,0.73132334477978,0.1728513581755435,0.23097502972651607
w23,Effusion,58,35,23,0.6931677018633541,0.7816322053486825,0.2140965487377987,0.23929845422116525
w23,Synovitis,58,27,31,0.5495818399044204,0.5407130814996743,0.2462246295781184,0.24881093935790732
w23,Baker's,58,12,46,0.8306159420289855,0.74882395017863,0.10683605555653652,0.16409036860879905
w23,Contusion,58,19,39,0.7037786774628879,0.5184417050405852,0.2028644522833111,0.22027348394768137
w23,Fracture,58,18,40,0.8243055555555556,0.6181445892399239,0.1620403437023011,0.2140309155766944
llm_raw_gold_independent,ACL,58,24,34,0.7696078431372548,0.6432692307692308,0.20339830603448275,0.2425683709869204
llm_raw_gold_independent,MCL,58,9,49,0.8616780045351474,0.47120453787120453,0.1824206724137931,0.13109393579072537
llm_raw_gold_independent,Medial Meniscus,58,26,32,0.7530048076923078,0.6815305609423257,0.1950693275862069,0.24732461355529128
llm_raw_gold_independent,Lateral Meniscus,58,23,35,0.8105590062111802,0.677536231884058,0.1637247974137931,0.23929845422116525
llm_raw_gold_independent,Medial OA,58,15,43,0.7054263565891472,0.5220125786163522,0.20939238793103448,0.1917360285374554
llm_raw_gold_independent,Lateral OA,58,11,47,0.5541586073500966,0.22402597402597402,0.24886277586206898,0.1536860879904875
llm_raw_gold_independent,PF OA,58,21,37,0.6756756756756757,0.5258358662613982,0.2134972974137931,0.23097502972651607
llm_raw_gold_independent,Effusion,58,35,23,0.6459627329192547,0.6984032797497033,0.2530754870689655,0.23929845422116527
llm_raw_gold_independent,Synovitis,58,27,31,0.600358422939068,0.535416052657432,0.259933125,0.24881093935790727
llm_raw_gold_independent,Baker's,58,12,46,0.8306159420289855,0.6029263220439691,0.22129533189655168,0.16409036860879905
llm_raw_gold_independent,Contusion,58,19,39,0.6605937921727395,0.49092558983666057,0.26201784051724136,0.22027348394768137
llm_raw_gold_independent,Fracture,58,18,40,0.6909722222222221,0.4768009768009768,0.2225233448275862,0.2140309155766944
llm_only,ACL,58,24,34,0.7438725490196079,0.6810293294668295,0.197580463850998,0.2425683709869204
llm_only,MCL,58,9,49,0.7981859410430839,0.39884983022237924,0.17335291237896097,0.13109393579072537
llm_only,Medial Meniscus,58,26,32,0.7463942307692307,0.7013839088716339,0.1997080282756951,0.24732461355529128
llm_only,Lateral Meniscus,58,23,35,0.8080745341614907,0.7061988513647552,0.17966494285004797,0.23929845422116525
llm_only,Medial OA,58,15,43,0.6124031007751938,0.5430599647266314,0.1895059885411658,0.1917360285374554
llm_only,Lateral OA,58,11,47,0.4941972920696325,0.2634290449151594,0.2013857372327601,0.1536860879904875
llm_only,PF OA,58,21,37,0.592020592020592,0.42615811459424474,0.2272247995644425,0.23097502972651607
llm_only,Effusion,58,35,23,0.5689440993788819,0.6642192368059455,0.22692433832591483,0.23929845422116527
llm_only,Synovitis,58,27,31,0.5782556750298686,0.5239770801704238,0.2428331164019725,0.24881093935790727
llm_only,Baker's,58,12,46,0.8070652173913044,0.7265398822002596,0.1545139591206034,0.16409036860879905
llm_only,Contusion,58,19,39,0.5674763832658569,0.3908667582404328,0.2315099966559156,0.22027348394768137
llm_only,Fracture,58,18,40,0.6618055555555555,0.4931241597908265,0.20808205782948452,0.2140309155766944
llm_plus_w2,ACL,58,24,34,0.9105392156862745,0.8896650335824517,0.11975401914046163,0.2425683709869204
llm_plus_w2,MCL,58,9,49,0.9251700680272108,0.5378926628926629,0.1504923778689923,0.13109393579072537
llm_plus_w2,Medial Meniscus,58,26,32,0.8623798076923077,0.8380580480234061,0.14540162117486585,0.24732461355529128
llm_plus_w2,Lateral Meniscus,58,23,35,0.8664596273291925,0.7926360337337731,0.15749976403111685,0.23929845422116525
llm_plus_w2,Medial OA,58,15,43,0.821705426356589,0.7254250365320326,0.1604818954332623,0.1917360285374554
llm_plus_w2,Lateral OA,58,11,47,0.6402321083172147,0.4482806114385062,0.18049575052162117,0.1536860879904875
llm_plus_w2,PF OA,58,21,37,0.8133848133848134,0.7557789620623048,0.18156294021561833,0.23097502972651607
llm_plus_w2,Effusion,58,35,23,0.6726708074534161,0.7588636362489171,0.21765435556182813,0.23929845422116527
llm_plus_w2,Synovitis,58,27,31,0.6027479091995221,0.567219756032189,0.243308517792671,0.24881093935790727
llm_plus_w2,Baker's,58,12,46,0.8505434782608696,0.7715608465608467,0.13378626808291139,0.16409036860879905
llm_plus_w2,Contusion,58,19,39,0.6929824561403509,0.49913524488439986,0.2180578248599798,0.22027348394768137
llm_plus_w2,Fracture,58,18,40,0.8166666666666667,0.6853073669081159,0.17595518078445807,0.2140309155766944
