Label,w23__AUROC,w23__AP,llm_raw_gold_independent__AUROC,llm_raw_gold_independent__AP,llm_only__AUROC,llm_only__AP,llm_plus_w2__AUROC,llm_plus_w2__AP,best_own_AUROC,best_own_minus_w23_AUROC
ACL,0.926470588235294,0.9341966078917832,0.7696078431372548,0.6432692307692308,0.7438725490196079,0.6810293294668295,0.9105392156862745,0.8896650335824517,0.9105392156862745,-0.01593137254901955
MCL,0.9501133786848073,0.6563492063492063,0.8616780045351474,0.47120453787120453,0.7981859410430839,0.39884983022237924,0.9251700680272108,0.5378926628926629,0.9251700680272108,-0.024943310657596474
Medial Meniscus,0.8443509615384615,0.8432380103009324,0.7530048076923078,0.6815305609423257,0.7463942307692307,0.7013839088716339,0.8623798076923077,0.8380580480234061,0.8623798076923077,0.018028846153846256
Lateral Meniscus,0.8155279503105589,0.753381617747689,0.8105590062111802,0.677536231884058,0.8080745341614907,0.7061988513647552,0.8664596273291925,0.7926360337337731,0.8664596273291925,0.05093167701863355
Medial OA,0.7077519379844961,0.6095239130922957,0.7054263565891472,0.5220125786163522,0.6124031007751938,0.5430599647266314,0.821705426356589,0.7254250365320326,0.821705426356589,0.11395348837209296
Lateral OA,0.6595744680851064,0.46294996294996293,0.5541586073500966,0.22402597402597402,0.4941972920696325,0.2634290449151594,0.6402321083172147,0.4482806114385062,0.6402321083172147,-0.01934235976789178
PF OA,0.7496782496782496,0.73132334477978,0.6756756756756757,0.5258358662613982,0.592020592020592,0.42615811459424474,0.8133848133848134,0.7557789620623048,0.8133848133848134,0.0637065637065638
Effusion,0.6931677018633541,0.7816322053486825,0.6459627329192547,0.6984032797497033,0.5689440993788819,0.6642192368059455,0.6726708074534161,0.7588636362489171,0.6726708074534161,-0.02049689440993796
Synovitis,0.5495818399044204,0.5407130814996743,0.600358422939068,0.535416052657432,0.5782556750298686,0.5239770801704238,0.6027479091995221,0.567219756032189,0.6027479091995221,0.0531660692951017
Baker's,0.8306159420289855,0.74882395017863,0.8306159420289855,0.6029263220439691,0.8070652173913044,0.7265398822002596,0.8505434782608696,0.7715608465608467,0.8505434782608696,0.019927536231884146
Contusion,0.7037786774628879,0.5184417050405852,0.6605937921727395,0.49092558983666057,0.5674763832658569,0.3908667582404328,0.6929824561403509,0.49913524488439986,0.6929824561403509,-0.010796221322536992
Fracture,0.8243055555555556,0.6181445892399239,0.6909722222222221,0.4768009768009768,0.6618055555555555,0.4931241597908265,0.8166666666666667,0.6853073669081159,0.8166666666666667,-0.007638888888888973
