Label,State,N,MeanEffectiveConfidence,EvidenceVerifiedFraction,GoldPositiveRate
ACL,A,10,82.0,1.0,0.0
ACL,N,32,51.09375,0.0,0.375
ACL,P,16,90.3125,1.0,0.75
Baker's,A,7,92.14285714285714,1.0,0.0
Baker's,N,40,50.0,0.0,0.1
Baker's,P,11,90.0,1.0,0.7272727272727273
Contusion,A,4,82.5,1.0,0.25
Contusion,N,42,50.0,0.0,0.23809523809523808
Contusion,P,12,88.75,1.0,0.6666666666666666
Effusion,A,6,88.33333333333333,1.0,0.0
Effusion,N,21,50.0,0.0,0.6666666666666666
Effusion,P,31,88.87096774193549,1.0,0.6774193548387096
Fracture,A,6,87.5,1.0,0.0
Fracture,N,43,50.0,0.0,0.2558139534883721
Fracture,P,8,89.375,1.0,0.75
Fracture,U,1,60.0,1.0,1.0
Lateral Meniscus,A,12,81.66666666666667,1.0,0.0
Lateral Meniscus,N,31,50.0,0.0,0.3225806451612903
Lateral Meniscus,P,12,88.75,1.0,0.9166666666666666
Lateral Meniscus,U,3,68.33333333333333,1.0,0.6666666666666666
Lateral OA,A,2,85.0,1.0,0.0
Lateral OA,N,50,50.4,0.0,0.14
Lateral OA,P,2,85.0,1.0,0.5
Lateral OA,U,4,66.25,1.0,0.75
MCL,A,21,81.19047619047619,1.0,0.0
MCL,N,27,50.0,0.0,0.1111111111111111
MCL,P,10,89.5,1.0,0.6
Medial Meniscus,A,7,81.42857142857143,1.0,0.0
Medial Meniscus,N,33,50.0,0.0,0.42424242424242425
Medial Meniscus,P,14,90.0,1.0,0.8571428571428571
Medial Meniscus,U,4,77.5,1.0,0.0
Medial OA,A,5,82.0,1.0,0.0
Medial OA,N,47,51.170212765957444,0.0,0.2127659574468085
Medial OA,P,4,90.0,1.0,1.0
Medial OA,U,2,62.5,1.0,0.5
PF OA,A,11,80.0,1.0,0.0
PF OA,N,37,52.432432432432435,0.0,0.3783783783783784
PF OA,P,5,91.0,1.0,0.6
PF OA,U,5,78.0,1.0,0.8
Synovitis,N,44,58.52272727272727,0.0,0.38636363636363635
Synovitis,P,13,91.92307692307692,1.0,0.6923076923076923
Synovitis,U,1,75.0,1.0,1.0
