Dimension,Value,N,RuleExact,SemanticExact,HybridExact
Label,ACL,10,0.5,0.2,0.5
Label,Baker's,10,0.5,0.0,0.5
Label,Contusion,13,0.23076923076923078,0.0,0.23076923076923078
Label,Effusion,12,0.5,0.08333333333333333,0.5
Label,Fracture,12,0.3333333333333333,0.16666666666666666,0.4166666666666667
Label,Lateral Meniscus,12,0.3333333333333333,0.3333333333333333,0.4166666666666667
Label,Lateral OA,6,0.3333333333333333,0.0,0.3333333333333333
Label,MCL,10,0.3,0.1,0.3
Label,Medial Meniscus,12,0.16666666666666666,0.08333333333333333,0.16666666666666666
Label,Medial OA,8,0.5,0.25,0.5
Label,PF OA,6,0.3333333333333333,0.16666666666666666,0.3333333333333333
Label,Synovitis,9,0.2222222222222222,0.2222222222222222,0.2222222222222222
Language,bcs,27,0.25925925925925924,0.1111111111111111,0.2962962962962963
Language,bg,14,0.6428571428571429,0.21428571428571427,0.6428571428571429
Language,de,11,0.6363636363636364,0.45454545454545453,0.7272727272727273
Language,el,15,0.13333333333333333,0.2,0.13333333333333333
Language,en,40,0.325,0.025,0.325
Language,es,6,0.3333333333333333,0.0,0.3333333333333333
Language,nl,3,0.6666666666666666,0.0,0.6666666666666666
Language,tr,4,0.0,0.25,0.0
