Label,GoldPositive,GoldNegative,OOF_AUROC,OOF_AP,OOF_Brier,Prior_Brier,BrierImprovementVsPrior,OOF_LogLoss,EvidenceAvailableN,EvidenceCoverage,EvidenceOnly_AUROC,EvidenceOnly_AP,EvidenceOnly_Brier,EvidenceOnly_Prior_Brier,EvidenceOnly_BrierImprovementVsPrior,PseudoLabelGateReason,PseudoLabelGatePass
ACL,24,34,0.9240196078431372,0.9386338869389605,0.08622389494986485,0.2425683709869204,0.15634447603705556,0.318339941700011,39,0.6724137931034483,0.9759358288770054,0.9812380589154042,0.07401660427027032,0.24589086127547666,0.17187425700520634,pass,True
MCL,9,49,0.9591836734693877,0.7116722783389451,0.09437619844547818,0.13109393579072537,0.03671773734524719,0.34905702228370855,30,0.5172413793103449,0.9047619047619048,0.7116722783389451,0.14384128105338992,0.21,0.06615871894661007,pass,True
Medial Meniscus,26,32,0.8317307692307693,0.8428028554192966,0.13614879926967788,0.24732461355529128,0.1111758142856134,0.443497978364734,34,0.5862068965517241,0.875,0.9091149081611825,0.12538757889008115,0.22837370242214536,0.10298612353206421,pass,True
Lateral Meniscus,23,35,0.8049689440993789,0.7216459907855116,0.16307564383716594,0.23929845422116525,0.0762228103839993,0.509635821704605,43,0.7413793103448276,0.8399122807017543,0.7603793222601272,0.147819966283023,0.24661979448350457,0.09879982820048158,pass,True
Medial OA,15,43,0.765891472868217,0.61852663900315,0.17750609351751903,0.1917360285374554,0.014229935019936357,0.5460009503946652,7,0.1206896551724138,0.6,0.8761904761904762,0.2560526018907311,0.2040816326530612,-0.05197096923766989,insufficient_evidence_n|evidence_brier_not_better_than_prior,False
Lateral OA,11,47,0.5589941972920697,0.38943237725619717,0.15535751806498932,0.1536860879904875,-0.001671430074501823,0.4923557160359412,2,0.034482758620689655,1.0,1.0,0.05203174032811229,0.25,0.19796825967188772,insufficient_evidence_n,False
PF OA,21,37,0.7207207207207208,0.7074265433958016,0.17730793925374394,0.23097502972651607,0.05366709047277213,0.5392136913409877,10,0.1724137931034483,0.3333333333333333,0.9060405643738978,0.10970981017116692,0.09000000000000001,-0.019709810171166908,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,False
Effusion,35,23,0.6857142857142857,0.7524432900142014,0.21231631194011777,0.23929845422116527,0.026982142281047505,0.6134098978601977,51,0.8793103448275862,0.7258064516129032,0.7715686849186769,0.2001397375431923,0.23836985774702033,0.038230120203828016,pass,True
Synovitis,27,31,0.473715651135006,0.4862868069449435,0.2515121702056832,0.24881093935790727,-0.0027012308477759595,0.7099526182957211,15,0.25862068965517243,0.0,0.5509470327652145,0.28650514697555934,0.19555555555555554,-0.0909495914200038,evidence_auc_below_gate|evidence_brier_not_better_than_prior,False
Baker's,12,46,0.802536231884058,0.7547441908263144,0.11120170006383624,0.16409036860879905,0.05288866854496281,0.3855361686657028,22,0.3793103448275862,0.8583333333333333,0.8657051282051281,0.16058056323470504,0.2479338842975206,0.08735332106281557,pass,True
Contusion,19,39,0.786774628879892,0.6442393724096045,0.18181990114512162,0.22027348394768137,0.038453582802559755,0.5444978324327088,38,0.6551724137931034,0.6666666666666667,0.6615119301360641,0.23227829633353705,0.24930747922437677,0.01702918289083971,pass,True
Fracture,18,40,0.7972222222222223,0.620005145623219,0.16175050241457797,0.2140309155766944,0.05228041316211643,0.5119906964518192,25,0.43103448275862066,0.7564102564102565,0.6796603848640048,0.18370948208553461,0.24960000000000004,0.06589051791446543,pass,True
MACRO_MEAN,240,456,0.759289367113262,0.6823216147463455,0.15904972275898135,0.21026555687673407,0.05121583411775271,0.4969573612942335,316,0.4540229885057471,0.7113466713080965,0.8061690640940933,0.1643394007549419,0.2213110639715551,0.05697166321661317,macro_not_applicable,False
