Label,UnlabeledStudies,SoftLabelAvailableN,SoftLabelCoverage,MeanProbabilityAvailable,HighSelectionScoreN_ge_0_5,RuleExplicitN,SemanticRecoveredN
ACL,4349,1588,0.36514141181880894,0.3484097098328853,1288,1544,0
MCL,4349,1611,0.37042998390434584,0.28678481788189303,1226,1570,0
Medial Meniscus,4349,2453,0.564037709818349,0.5440428627987755,1766,2001,3
Lateral Meniscus,4349,2599,0.5976086456656703,0.33930028034240806,2119,2275,3
Medial OA,4349,0,0.0,,0,332,9
Lateral OA,4349,0,0.0,,0,200,6
PF OA,4349,0,0.0,,0,790,33
Effusion,4349,3132,0.720165555300069,0.5017014930692183,1050,3112,0
Synovitis,4349,0,0.0,,0,446,0
Baker's,4349,1644,0.3780179351575075,0.4997617559426844,967,1632,0
Contusion,4349,1662,0.382156817659232,0.40346104017649514,676,953,0
Fracture,4349,859,0.1975166704989653,0.3597143606641966,609,816,2
