Label,W3_0_AUROC,W3_1_AUROC,Delta_AUROC,W3_0_AP,W3_1_AP,Delta_AP
ACL,0.4987745098039216,0.46078431372549017,-0.037990196078431404,0.44655258504197026,0.4004954089868797,-0.046057176055090576
MCL,0.40136054421768713,0.34467120181405897,-0.05668934240362816,0.14645956745099953,0.12819971406267647,-0.01825985338832306
Medial Meniscus,0.5805288461538461,0.5420673076923077,-0.038461538461538436,0.5226396345127983,0.4930889994754137,-0.029550635037384587
Lateral Meniscus,0.5801242236024845,0.5316770186335404,-0.04844720496894406,0.49619069896055257,0.4752518285710652,-0.020938870389487385
Medial OA,0.6077519379844961,0.6217054263565892,0.013953488372093092,0.4113415519470908,0.41504997063181204,0.0037084186847212153
Lateral OA,0.6934235976789168,0.6692456479690523,-0.024177949709864532,0.3317841010435054,0.30986637979943654,-0.021917721244068877
PF OA,0.6235521235521234,0.637065637065637,0.013513513513513598,0.5917879670172532,0.46659136938094947,-0.12519659763630375
Effusion,0.42049689440993787,0.5055900621118012,0.08509316770186337,0.5650846390865035,0.6014391344510108,0.0363544953645073
Synovitis,0.4540023894862605,0.40501792114695345,-0.04898446833930703,0.45067879097730734,0.41114156784562206,-0.039537223131685284
Baker's,0.519927536231884,0.5344202898550725,0.01449275362318847,0.3045561374094307,0.2418977814398031,-0.06265835596962763
Contusion,0.5870445344129555,0.5276653171390013,-0.05937921727395412,0.4760373225322392,0.373281416684453,-0.10275590584778616
Fracture,0.5840277777777778,0.6430555555555556,0.05902777777777779,0.45442426873210084,0.4612116232298281,0.0067873544977272715
