Label,PositiveCount,AUROC,AveragePrecision
ACL,24,0.46078431372549017,0.4004954089868797
MCL,9,0.34467120181405897,0.12819971406267647
Medial Meniscus,26,0.5420673076923077,0.4930889994754137
Lateral Meniscus,23,0.5316770186335404,0.4752518285710652
Medial OA,15,0.6217054263565892,0.41504997063181204
Lateral OA,11,0.6692456479690523,0.30986637979943654
PF OA,21,0.637065637065637,0.46659136938094947
Effusion,35,0.5055900621118012,0.6014391344510108
Synovitis,27,0.40501792114695345,0.41114156784562206
Baker's,12,0.5344202898550725,0.2418977814398031
Contusion,19,0.5276653171390013,0.373281416684453
Fracture,18,0.6430555555555556,0.4612116232298281
