Variant,Fold,Epoch,GoldLoss,PseudoLoss,TotalLoss,LearningRate,ValMacroAUROC,ValMacroAP,ValMacroF1,PseudoSeenCells__ACL,PseudoSeenCells__MCL,PseudoSeenCells__Medial Meniscus,PseudoSeenCells__Lateral Meniscus,PseudoSeenCells__Medial OA,PseudoSeenCells__Lateral OA,PseudoSeenCells__PF OA,PseudoSeenCells__Effusion,PseudoSeenCells__Synovitis,PseudoSeenCells__Baker's,PseudoSeenCells__Contusion,PseudoSeenCells__Fracture
fold_safe_weak,2,1,0.8693200629204512,0.6861806511878967,0.8489712439477444,0.00040379170073213423,0.6097608024691358,0.5757774886048695,0.3237433862433862,790,724,1016,1040,0,0,0,578,0,525,0,308
fold_safe_weak,2,2,0.5754634672775865,0.7444241642951965,0.5942368824034929,0.0009437317965886256,0.6809964726631393,0.6069895382395382,0.45217513967513967,795,716,1010,1102,0,0,0,561,0,494,0,273
fold_safe_weak,2,3,0.4198973709717393,0.83676996268332,0.4662165539339185,0.000997894146250357,0.6352871472663139,0.586073082010582,0.5013257575757576,768,725,989,1095,0,0,0,569,0,526,0,300
fold_safe_weak,2,4,0.2658841898664832,0.8358699642121792,0.329215947072953,0.0009859933784373501,0.6001047178130512,0.5172368526535194,0.26026936026936026,772,707,1022,1072,0,0,0,551,0,508,0,300
fold_safe_weak,2,5,0.10477511398494244,0.8159065097570419,0.18378971563652158,0.0009638300653841702,0.622227733686067,0.5528099446849446,0.3799348799348799,797,713,1021,1089,0,0,0,590,0,555,0,325
fold_safe_weak,2,6,0.06844111671671271,0.788194427266717,0.14841370796784759,0.0009318722236297356,0.6129960317460318,0.5539510181176847,0.32680375180375176,758,685,1032,1036,0,0,0,547,0,479,0,297
fold_safe_weak,2,7,0.04949403554201126,0.7580843903124332,0.12822629720903933,0.000890794698060879,0.6221285273368607,0.5693999518999519,0.35790945165945165,788,740,1028,1142,0,0,0,575,0,500,0,294
fold_safe_weak,2,8,0.03730963682755828,0.7038760744035244,0.11137257469817996,0.0008414649113999131,0.5979993386243386,0.5524150232483565,0.3334325396825397,823,765,1020,1072,0,0,0,591,0,521,0,307
fold_safe_weak,2,9,0.027136228687595576,0.6621437445282936,0.09769262024201453,0.0007849245470794208,0.5988618827160493,0.5555075700313795,0.36411453470276994,788,718,960,1065,0,0,0,586,0,544,0,313
fold_safe_weak,2,10,0.022871655761264265,0.6450492013245821,0.09200249495916069,0.0007223675523019238,0.5650187389770722,0.5421129950296617,0.3353174603174604,794,729,1022,1089,0,0,0,561,0,501,0,300
fold_safe_weak,2,11,0.02670760394539684,0.6515466421842575,0.09613416530191898,0.0006551149257877237,0.6464065255731922,0.5936208384869098,0.3489718614718615,739,701,995,1121,0,0,0,551,0,482,0,270
fold_safe_weak,2,12,0.020780384249519557,0.6348712034523487,0.08901269896887243,0.0005845868226110556,0.6495590828924163,0.5750751563251563,0.3422077922077922,775,709,1047,1081,0,0,0,591,0,508,0,301
fold_safe_weak,2,13,0.012910010409541428,0.603947427123785,0.07858083606697619,0.0005122725651789991,0.6175540123456791,0.5604739357864358,0.30310846560846555,797,702,995,1060,0,0,0,574,0,487,0,312
fold_safe_weak,2,14,0.01063314285420347,0.5915188509970903,0.07517599919810891,0.0004396991936229908,0.6456679894179894,0.5796130952380952,0.3566257816257816,729,722,988,1099,0,0,0,610,0,491,0,290
fold_safe_weak,2,15,0.010046504728961736,0.5937703587114811,0.07490471168421209,0.000368399219715606,0.6513117283950618,0.580478896103896,0.3052641258523612,748,652,1000,1075,0,0,0,550,0,490,0,292
fold_safe_weak,2,16,0.008722391110495664,0.5835618674755096,0.07259344542399049,0.0002998782652442116,0.6315338403880072,0.5739673520923522,0.32510539569363095,773,704,1022,1103,0,0,0,590,0,505,0,317
fold_safe_weak,2,17,0.008242078372859396,0.5832050815224648,0.07212685607373714,0.0002355832682129828,0.66121307319224,0.584466046519618,0.29273689273689274,739,729,1002,1075,0,0,0,522,0,466,0,280
fold_safe_weak,2,18,0.008052910125115886,0.5822887625545263,0.07185689453035593,0.00017687192825410517,0.6696786816578483,0.5885975829725828,0.2802368927368927,741,665,1032,1077,0,0,0,541,0,491,0,296
fold_safe_weak,2,19,0.006986520063946955,0.5792645085602999,0.07057296391576529,0.0001249840364609445,0.6747492283950618,0.5976197991822992,0.33250962000962003,777,673,1028,1051,0,0,0,577,0,512,0,310
fold_safe_weak,2,20,0.007544019652414136,0.5744843557476997,0.07053739135153592,8.10152950631509e-05,0.6716628086419755,0.5856151867312581,0.30936465495289023,763,741,983,1089,0,0,0,578,0,497,0,285
fold_safe_weak,2,21,0.007016963834757917,0.5693191085010767,0.06949498131871223,4.589417978636221e-05,0.6601962081128748,0.5784061920222634,0.3052641258523612,828,753,1019,1088,0,0,0,581,0,514,0,329
fold_safe_weak,2,22,0.00656799394346308,0.5680062435567379,0.06895002187229693,2.0362333487643505e-05,0.670276675485009,0.585477650656222,0.33806835865659396,772,705,1013,1081,0,0,0,555,0,488,0,309
fold_safe_weak,2,23,0.00794127919652965,0.5715429820120335,0.07056369120255113,4.958905088830256e-06,0.6676725088183423,0.5820054284339998,0.33806835865659396,757,694,1043,1069,0,0,0,579,0,515,0,301
fold_safe_weak,2,24,0.00636164061143063,0.5673066210001707,0.06868886109441519,9.164518176878753e-09,0.6676725088183423,0.5820054284339998,0.33806835865659396,808,760,1016,1122,0,0,0,589,0,518,0,295
