Label,PositiveCount,AUROC,AveragePrecision
ACL,24,0.7279411764705883,0.5825571189533169
MCL,9,0.5918367346938775,0.31863105479113124
Medial Meniscus,26,0.5721153846153846,0.5271061069219821
Lateral Meniscus,23,0.6906832298136646,0.5598975481877095
Medial OA,15,0.6496124031007753,0.47669153436647344
Lateral OA,11,0.620889748549323,0.3208204281748549
PF OA,21,0.5508365508365508,0.5032802837407614
Effusion,35,0.8062111801242234,0.8679932738523477
Synovitis,27,0.6057347670250897,0.6205843831767772
Baker's,12,0.5960144927536232,0.27285546808351435
Contusion,19,0.5546558704453441,0.4083955857443926
Fracture,18,0.7263888888888889,0.5255678252827656
