OuterFold,Label,Source,SourceFoldSafeForOOF,SelectedCellN,SelectedStudyFraction,MeanSoftTargetSelected
1,ACL,W2.3 exact outer-fold target/mask,True,1256,0.2888020234536675,0.308541476726532
1,MCL,W2.3 exact outer-fold target/mask,True,1254,0.28834214762014254,0.2565450668334961
1,Medial Meniscus,W2.3 exact outer-fold target/mask,True,1638,0.3766383076569326,0.5592585206031799
1,Lateral Meniscus,W2.3 exact outer-fold target/mask,True,2031,0.467003908944585,0.30179792642593384
1,Medial OA,W2.6-P final all-58 50/50 hybrid,False,4349,1.0,0.38132238388061523
1,Lateral OA,W2.6-P final all-58 50/50 hybrid,False,4349,1.0,0.30309101939201355
1,PF OA,W2.6-P final all-58 50/50 hybrid,False,4349,1.0,0.4657103419303894
1,Effusion,W2.3 exact outer-fold target/mask,True,830,0.19084847091285354,0.27474167943000793
1,Synovitis,W2.6-P final all-58 50/50 hybrid,False,4349,1.0,0.3540878891944885
1,Baker's,W2.3 exact outer-fold target/mask,True,548,0.12600597838583583,0.6683103442192078
1,Contusion,W2.3 exact outer-fold target/mask,True,662,0.15221890089675788,0.32969504594802856
1,Fracture,W2.3 exact outer-fold target/mask,True,590,0.13566337088985975,0.2836073040962219
2,ACL,W2.3 exact outer-fold target/mask,True,1309,0.3009887330420786,0.34009209275245667
2,MCL,W2.3 exact outer-fold target/mask,True,1205,0.2770751896987813,0.23942328989505768
2,Medial Meniscus,W2.3 exact outer-fold target/mask,True,1694,0.38951483099563117,0.5793673992156982
2,Lateral Meniscus,W2.3 exact outer-fold target/mask,True,1800,0.41388825017245345,0.30488884449005127
2,Medial OA,W2.6-P final all-58 50/50 hybrid,False,4349,1.0,0.38132238388061523
2,Lateral OA,W2.6-P final all-58 50/50 hybrid,False,4349,1.0,0.30309101939201355
2,PF OA,W2.6-P final all-58 50/50 hybrid,False,4349,1.0,0.4657103419303894
2,Effusion,W2.3 exact outer-fold target/mask,True,968,0.22257990342607495,0.23152858018875122
