Label,PositiveCount,AUROC,AveragePrecision
ACL,24,0.7573529411764707,0.5901283595222275
MCL,9,0.6326530612244898,0.27052473484974027
Medial Meniscus,26,0.5588942307692308,0.5013273570963351
Lateral Meniscus,23,0.6559006211180124,0.4985716148634557
Medial OA,15,0.8589147286821707,0.7965926323909517
Lateral OA,11,0.7620889748549323,0.36426073926073926
PF OA,21,0.6988416988416988,0.5549791366442588
Effusion,35,0.8608695652173913,0.8854631704584898
Synovitis,27,0.6021505376344086,0.5455401228940776
Baker's,12,0.5996376811594203,0.2580454785658635
Contusion,19,0.689608636977058,0.5755880856442871
Fracture,18,0.6819444444444444,0.4988801311378188
