,ACL,MCL,Medial Meniscus,Lateral Meniscus,Medial OA,Lateral OA,PF OA,Effusion,Synovitis,Baker's,Contusion,Fracture
ACL,1.0,0.17857142857142858,0.35135135135135137,0.23684210526315788,0.08333333333333333,0.12903225806451613,0.125,0.43902439024390244,0.24390243902439024,0.125,0.43333333333333335,0.3548387096774194
MCL,0.17857142857142858,1.0,0.06060606060606061,0.14285714285714285,0.0,0.05263157894736842,0.034482758620689655,0.1282051282051282,0.09090909090909091,0.0,0.16666666666666666,0.17391304347826086
Medial Meniscus,0.35135135135135137,0.06060606060606061,1.0,0.32432432432432434,0.41379310344827586,0.15625,0.2702702702702703,0.4523809523809524,0.39473684210526316,0.3103448275862069,0.21621621621621623,0.2571428571428571
Lateral Meniscus,0.23684210526315788,0.14285714285714285,0.32432432432432434,1.0,0.4074074074074074,0.36,0.29411764705882354,0.38095238095238093,0.35135135135135137,0.2962962962962963,0.13513513513513514,0.20588235294117646
Medial OA,0.08333333333333333,0.0,0.41379310344827586,0.4074074074074074,1.0,0.3,0.38461538461538464,0.25,0.3125,0.42105263157894735,0.030303030303030304,0.06451612903225806
Lateral OA,0.12903225806451613,0.05263157894736842,0.15625,0.36,0.3,1.0,0.28,0.24324324324324326,0.3103448275862069,0.35294117647058826,0.034482758620689655,0.07407407407407407
PF OA,0.125,0.034482758620689655,0.2702702702702703,0.29411764705882354,0.38461538461538464,0.28,1.0,0.3333333333333333,0.4117647058823529,0.2692307692307692,0.08108108108108109,0.11428571428571428
Effusion,0.43902439024390244,0.1282051282051282,0.4523809523809524,0.38095238095238093,0.25,0.24324324324324326,0.3333333333333333,1.0,0.55,0.20512820512820512,0.3170731707317073,0.325
Synovitis,0.24390243902439024,0.09090909090909091,0.39473684210526316,0.35135135135135137,0.3125,0.3103448275862069,0.4117647058823529,0.55,1.0,0.25806451612903225,0.2777777777777778,0.25
Baker's,0.125,0.0,0.3103448275862069,0.2962962962962963,0.42105263157894735,0.35294117647058826,0.2692307692307692,0.20512820512820512,0.25806451612903225,1.0,0.10714285714285714,0.07142857142857142
Contusion,0.43333333333333335,0.16666666666666666,0.21621621621621623,0.13513513513513514,0.030303030303030304,0.034482758620689655,0.08108108108108109,0.3170731707317073,0.2777777777777778,0.10714285714285714,1.0,0.37037037037037035
Fracture,0.3548387096774194,0.17391304347826086,0.2571428571428571,0.20588235294117646,0.06451612903225806,0.07407407407407407,0.11428571428571428,0.325,0.25,0.07142857142857142,0.37037037037037035,1.0
