StudyInstanceUID,SeriesIndex,SeriesInstanceUID,NumberOfSlices,Rows,Columns,PixelSpacing,SliceThickness,SpacingBetweenSlices,ComputedMedianSliceSpacing,ImageOrientationPatient,AnatomicalPlane,SeriesDescription,SequenceName,ScanningSequence,SequenceVariant,Manufacturer,ManufacturerModelName,MagneticFieldStrength,EchoTime,RepetitionTime,FlipAngle,Is_PD,Is_T1,Is_T2,Is_Fat_Suppressed,Is_Sagittal,Is_Coronal,Is_Axial
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,1,1.2.826.0.1.3680043.8.498.10791858932231443712736629517371931282,36,400,400,"[0.4, 0.4]",2.5,2.875,2.875050304672584,"[-0.0703243, 0.987791, 0.139011, -0.109147, 0.130899, -0.985369]",Sagittal,t2_tse_sag,*tseR2d1_13,SE,"['SP', 'SK']",Siemens Healthineers,MAGNETOM Sempra,1.5,75,6570,150,0,0,1,0,1,0,0
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,2,1.2.826.0.1.3680043.8.498.12451507871565834868863189854063726441,30,384,384,"[0.390625, 0.390625]",3,3.45,3.450020060517005,"[0.997241, 0.0451763, -0.0589002, -0.0645811, 0.136812, -0.98849]",Coronal,t1_tse_cor_384,*tse2d1_3,SE,"['SP', 'SK']",Siemens Healthineers,MAGNETOM Sempra,1.5,12,700,160,0,1,0,0,0,1,0
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,3,1.2.826.0.1.3680043.8.498.21497837050858589852101556928971904198,30,320,320,"[0.5, 0.5]",3,3.45,3.450019158502684,"[0.997244, 0.0451692, -0.0588493, -0.0645298, 0.136815, -0.988493]",Coronal,pd_tse_fs_cor,*tse2d1_7,SE,"['SP', 'SK']",Siemens Healthineers,MAGNETOM Sempra,1.5,40,3980,150,1,0,0,1,0,1,0
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,4,1.2.826.0.1.3680043.8.498.37372672584387115708078590109474719429,36,320,320,"[0.5, 0.5]",2.5,2.875,2.8750512576951763,"[-0.0703218, 0.987788, 0.139034, -0.109149, 0.130922, -0.985366]",Sagittal,pd_tse_fs_sag,*tse2d1_7,SE,"['SP', 'SK']",Siemens Healthineers,MAGNETOM Sempra,1.5,40,4790,150,1,0,0,1,1,0,0
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,5,1.2.826.0.1.3680043.8.498.67495435033389756963800730529101229430,32,320,320,"[0.5, 0.5]",3.5,4.025,4.025007033772098,"[0.998348, 0.0460092, -0.0344023, -0.0422711, 0.99384, 0.102449]",Axial,pd_tse_fs_tra,*tse2d1_7,SE,"['SP', 'SK']",Siemens Healthineers,MAGNETOM Sempra,1.5,40,4240,150,1,0,0,1,0,0,1
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,1,1.2.826.0.1.3680043.8.498.10560750949481691706699585852544080976,30,640,640,"[0.25, 0.25]",3,3.3,3.300001445761339,"[0.98052859306335, -0.1944152116775, -0.0276844967156, -0.0208377055823, 0.03717496246099, -0.9990915060043]",Coronal,RT.Cor_TSE_T2,,SE,SK,Philips,Achieva dStream,3,80,2500.00048828125,90,0,0,1,0,0,0,0
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,2,1.2.826.0.1.3680043.8.498.11485276391165564447623186225915027296,30,704,704,"[0.22727273404598, 0.22727273404598]",3,3.3,3.300001445761353,"[0.98052859306335, -0.1944152116775, -0.0276844967156, -0.0208377055823, 0.03717496246099, -0.9990915060043]",Coronal,RT.Cor_T1W_TSE,,SE,SK,Philips,Achieva dStream,3,10,519.12451171875,90,0,0,0,0,0,0,0
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,3,1.2.826.0.1.3680043.8.498.25511961362790207336672525814885780079,16,480,480,"[0.27083334326744, 0.27083334326744]",2.5,3,2.9999989446216233,"[0.98052859306335, -0.1944152116775, -0.0276844855397, 0.18223179876804, 0.84828066825866, 0.49720367789268]",Axial,RT.COR ACL T2W FS,,SE,SK,Philips,Achieva dStream,3,75,2500,90,0,0,0,1,0,0,0
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,4,1.2.826.0.1.3680043.8.498.39687308593816556791491064151179747304,29,432,432,"[0.41666665673255, 0.41666665673255]",3,3.3,3.3000004136645735,"[0.19526775181293, 0.98021465539932, 0.03239994868636, -0.0208377055823, 0.03717496246099, -0.9990915060043]",Sagittal,RT.Sag_T2W_TSE,,SE,SK,Philips,Achieva dStream,3,80,3000,90,0,0,0,0,0,0,0
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,5,1.2.826.0.1.3680043.8.498.45571369239262736508574040931936336167,30,640,640,"[0.25, 0.25]",3,3.3,3.300001445761339,"[0.98052859306335, -0.1944152116775, -0.0276844967156, -0.0208377055823, 0.03717496246099, -0.9990915060043]",Coronal,RT.Cor_PDW_TSE_SPAIR,,SE,SK,Philips,Achieva dStream,3,30,2500.00048828125,90,1,0,0,0,0,0,0
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,6,1.2.826.0.1.3680043.8.498.54042133199308823292191999163405766552,29,512,512,"[0.3515625, 0.3515625]",3,3.3,3.300000413665078,"[0.19526775181293, 0.98021465539932, 0.03239994868636, -0.0208377055823, 0.03717496246099, -0.9990915060043]",Sagittal,RT.Sag_T1W_TSE,,SE,SK,Philips,Achieva dStream,3,11,646.807495117187,90,0,0,0,0,0,0,0
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,7,1.2.826.0.1.3680043.8.498.55642842745139279565158267708282328638,29,800,800,"[0.22499999403953, 0.22499999403953]",3,3.3,3.300000413665064,"[0.19526775181293, 0.98021465539932, 0.03239994868636, -0.0208377055823, 0.03717496246099, -0.9990915060043]",Sagittal,RT.Sag_PDW_TSE_SPAIR_Sag,,SE,SK,Philips,Achieva dStream,3,30,3196.5,90,1,0,0,0,1,0,0
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,8,1.2.826.0.1.3680043.8.498.71876353677262220297725143243928050962,40,640,640,"[0.25, 0.25]",3,3.3,3.2999998624632756,"[0.98052859306335, -0.1944152116775, -0.0276844967156, 0.19526775181293, 0.98021465539932, 0.03239994868636]",Axial,RT.Tra_T2W_TSE_SPAIR,,SE,SK,Philips,Achieva dStream,3,83.008,3987.607421875,90,0,0,0,0,0,0,0
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,9,1.2.826.0.1.3680043.8.498.80784574440782299658628251628549446552,40,704,704,"[0.22727273404598, 0.22727273404598]",3,3.3,3.2999998624632765,"[0.98052859306335, -0.1944152116775, -0.0276844967156, 0.19526775181293, 0.98021465539932, 0.03239994868636]",Axial,RT.Tra_T1W_TSE,,SE,SK,Philips,Achieva dStream,3,11,545.468994140625,90,0,0,0,0,0,0,0
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,1,1.2.826.0.1.3680043.8.498.10903465965639594231540335074980096554,24,640,640,"[0.37504, 0.37504]",4,4.5,4.4996798365413895,"[0.244293, 0.966456, 0.0792629, -0.156654, 0.119999, -0.980337]",Sagittal,Sag T2 FSE FS_sm_AIRS,,SE,"['SK', 'OSP']",GE MEDICAL SYSTEMS,Optima MR450w,1.5,45.824,3056,160,0,0,1,1,1,0,0
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,2,1.2.826.0.1.3680043.8.498.13005592320529574912256603774090195374,32,640,640,"[0.37504, 0.37504]",3,3.5,3.499963525462846,"[0.95943, -0.272087, -0.073916, -0.0446904, 0.112091, -0.992692]",Coronal,Cor T1 FSE_sm_AIRS,,SE,"['SK', 'OSP']",GE MEDICAL SYSTEMS,Optima MR450w,1.5,12.12,498,160,0,1,0,1,0,1,0
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,3,1.2.826.0.1.3680043.8.498.19770471468778499025432715468366899017,40,640,640,"[0.37504, 0.37504]",3,3.5,3.5000026787152976,"[0.963397, -0.25902, -0.0690923, 0.264348, 0.960741, 0.0842459]",Axial,Ax T2 FSE FS_sm_AIRS,,SE,"['SK', 'OSP']",GE MEDICAL SYSTEMS,Optima MR450w,1.5,54.24,4286,160,0,0,1,1,0,0,1
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,4,1.2.826.0.1.3680043.8.498.28095032587022735220409990288365943063,32,640,640,"[0.37504, 0.37504]",3,3.5,3.4999227345432047,"[0.95943, -0.272087, -0.0739162, -0.0446905, 0.112092, -0.992692]",Coronal,Cor T2 FSE FS_sm_AIRS,,SE,"['SK', 'OSP']",GE MEDICAL SYSTEMS,Optima MR450w,1.5,51.84,5312,160,0,0,1,1,0,1,0
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,5,1.2.826.0.1.3680043.8.498.51945041305607216480680536482454984028,30,640,640,"[0.37504, 0.37504]",3,3.5,3.499925244845315,"[0.95943, -0.272087, -0.0739159, -0.0446904, 0.112091, -0.992692]",Coronal,cor STIR_sm_AIRS,,RM,OSP,GE MEDICAL SYSTEMS,Optima MR450w,1.5,46.84,3942,160,0,0,0,1,0,1,0
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,6,1.2.826.0.1.3680043.8.498.52935759841844767282979852850479469448,30,640,640,"[0.31248, 0.31248]",3,3.5,3.4999944757924197,"[0.960607, -0.253804, -0.113214, 0.263867, 0.960814, 0.0849162]",Axial,ax STIR_sm_AIRS,,RM,OSP,GE MEDICAL SYSTEMS,Optima MR450w,1.5,52.48,4167,160,0,0,0,1,0,0,1
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,7,1.2.826.0.1.3680043.8.498.55427564251500418323672579441288025575,24,640,640,"[0.37504, 0.37504]",4,4.5,4.499680014888725,"[0.244293, 0.966456, 0.0792628, -0.156654, 0.119999, -0.980337]",Sagittal,Sag PD FSE_sm_AIRS,,SE,"['SK', 'OSP']",GE MEDICAL SYSTEMS,Optima MR450w,1.5,21.696,1775,160,1,0,0,1,1,0,0
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1,1.2.826.0.1.3680043.8.498.10819304863029245505396116222076917240,19,512,512,"[0.3906, 0.3906]",4,,4.400002332953974,"[-0.114193, 0.993453, 0.00328701, -0.019279, 0.001092, -0.999814]",Sagittal,Sag T2 FS,,,None,GE MEDICAL SYSTEMS,Optima MR450w,,,,,0,0,1,1,1,0,0
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,2,1.2.826.0.1.3680043.8.498.11454182648928474635381502957910523653,26,512,512,"[0.4297, 0.4297]",4,,4.399997950637637,"[0.995311, 0.0963616, 0.00837503, 0.00552521, 0.0298039, -0.99954]",Coronal,CORT2 FS,,,None,GE MEDICAL SYSTEMS,Optima MR450w,,,,,0,0,0,1,0,0,0
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,3,1.2.826.0.1.3680043.8.498.12552728774210526013400534363105740572,30,512,512,"[0.4492, 0.4492]",4,,5.000006554053947,"[0.989873, 0.141945, -0.00184801, -0.141945, 0.989875, 0.0]",Axial,AX T2 FS,,,None,GE MEDICAL SYSTEMS,Optima MR450w,,,,,0,0,1,1,0,0,1
