Language,Rank,Term,CorpusCount,ReportCountInLanguage
bg,1,на,3149,220
bg,2,мр,799,220
bg,3,за,697,220
bg,4,данни,670,220
bg,5,данни за,665,220
bg,6,се,650,220
bg,7,менискус,649,220
bg,8,мр данни,550,220
bg,9,рог,509,220
bg,10,пателата,493,220
bg,11,рог на,473,220
bg,12,медиалния,472,220
bg,13,нормално,421,220
bg,14,на пателата,413,220
bg,15,на медиалния,392,220
bg,16,изобразяване,389,220
bg,17,нормално изобразяване,386,220
bg,18,хрущял,361,220
bg,19,тибията,353,220
bg,20,ставен,340,220
bg,21,медиалния менискус,332,220
bg,22,излив,325,220
bg,23,ставен излив,319,220
bg,24,задния,311,220
bg,25,фемура,306,220
bg,26,са,298,220
bg,27,задния рог,295,220
bg,28,хрущял на,272,220
bg,29,изобразяване на,259,220
bg,30,става,256,220
bg,31,интензитет,247,220
bg,32,лезия,236,220
bg,33,латералния,236,220
bg,34,лигамент,232,220
bg,35,на фемура,231,220
bg,36,находка,229,220
bg,37,едем,225,220
bg,38,заключение,220,220
bg,39,мр находка,220,220
bg,40,връзка,218,220
bg,41,със,210,220
bg,42,кръстна,203,220
bg,43,заключение мр,203,220
bg,44,кръстна връзка,201,220
bg,45,форма,196,220
bg,46,запазена,196,220
bg,47,до,189,220
bg,48,на латералния,184,220
bg,49,от,182,220
bg,50,сигнален,181,220
bg,51,сигнален интензитет,179,220
bg,52,киста,178,220
bg,53,ретинакулуми,178,220
bg,54,без,178,220
bg,55,лигаменти,177,220
bg,56,със запазена,176,220
bg,57,костите,175,220
bg,58,формиращи,172,220
bg,59,промени,171,220
bg,60,колянна,170,220
bg,61,колянна става,168,220
bg,62,костите формиращи,167,220
bg,63,вижда,167,220
bg,64,латералния менискус,161,220
bg,65,колатерални,158,220
bg,66,сухожилие,158,220
bg,67,сухожилие на,156,220
bg,68,на тибията,155,220
bg,69,нормална,155,220
bg,70,цялост,152,220
bg,71,квадрицепс,152,220
bg,72,запазена цялост,150,220
bg,73,феморис,147,220
bg,74,няма,145,220
bg,75,квадрицепс феморис,144,220
bg,76,нормална форма,143,220
bg,77,колатерални лигаменти,142,220
bg,78,костномозъчен едем,139,220
bg,79,наличие,139,220
bg,80,костномозъчен,139,220
bg,81,лигамент на,138,220
bg,82,наличие на,137,220
bg,83,фемура тибията,136,220
bg,84,връзки,136,220
bg,85,става са,135,220
bg,86,са нормална,132,220
bg,87,менискуса,131,220
bg,88,по,127,220
bg,89,на квадрицепс,124,220
bg,90,особености,117,220
bg,91,патела,117,220
bg,92,малък,116,220
bg,93,без особености,116,220
bg,94,изобразява,113,220
bg,95,за ставен,113,220
bg,96,увреда,112,220
bg,97,страна,111,220
bg,98,кондил,109,220
bg,99,степен,109,220
bg,100,дегенеративни,109,220
bs,1,signala,18,5
bs,2,medijalnog,12,5
bs,3,uz,11,5
bs,4,bez,10,5
bs,5,meniska,10,5
bs,6,znakova,10,5
bs,7,ligament,10,5
bs,8,bez znakova,10,5
bs,9,tetive,10,5
bs,10,ligamenta,8,5
bs,11,križni,8,5
bs,12,križni ligament,8,5
bs,13,intenziteta,7,5
bs,14,je,7,5
bs,15,hrskavice,7,5
bs,16,stražnji,7,5
bs,17,ruptura,7,5
bs,18,se,7,5
bs,19,te,7,5
bs,20,su,7,5
bs,21,medijalnog meniska,6,5
bs,22,rupture,6,5
bs,23,zgloba,6,5
bs,24,intenziteta signala,6,5
bs,25,patelarnog,6,5
bs,26,lateralnog,6,5
bs,27,lateralni,6,5
bs,28,kontinuitetu,6,5
bs,29,kolateralni,5,5
bs,30,kvadricepsa,5,5
bs,31,medijalni,5,5
bs,32,kvadricepsa patelarnog,5,5
bs,33,urednog signala,5,5
bs,34,tetive kvadricepsa,5,5
bs,35,te se,5,5
bs,36,urednog,5,5
bs,37,signala te,5,5
bs,38,degeneracije,5,5
bs,39,ciste,5,5
bs,40,cista,5,5
bs,41,manji,5,5
bs,42,patelarnog ligamenta,5,5
bs,43,tetiva,4,5
bs,44,stražnji križni,4,5
bs,45,stražnjeg,4,5
bs,46,uredan intenzitet,4,5
bs,47,uredan,4,5
bs,48,tijela,4,5
bs,49,menisk,4,5
bs,50,ligamenti,4,5
bs,51,održanog,4,5
bs,52,održanog kontinuiteta,4,5
bs,53,prednji,4,5
bs,54,prednji križni,4,5
bs,55,promjene,4,5
bs,56,menisk bez,4,5
bs,57,femorotibijalnog,4,5
bs,58,poplitealne,4,5
bs,59,femura,4,5
bs,60,distenzija,4,5
bs,61,kontinuiteta,4,5
bs,62,kolateralni ligamenti,4,5
bs,63,intenzitet,4,5
bs,64,intenzitet signala,4,5
bs,65,prati,3,5
bs,66,manja,3,5
bs,67,medijalne fasete,3,5
bs,68,oa,3,5
bs,69,medijalni kolateralni,3,5
bs,70,ligament urednog,3,5
bs,71,ligamenta bez,3,5
bs,72,rog,3,5
bs,73,znakova degeneracije,3,5
bs,74,tibije,3,5
bs,75,poplitealne ciste,3,5
bs,76,popliteusa,3,5
bs,77,patele,3,5
bs,78,pes,3,5
bs,79,osteofite,3,5
bs,80,prati kontinuitetu,3,5
bs,81,kompleksna,3,5
bs,82,je održanog,3,5
bs,83,femorotibijalnog zgloba,3,5
bs,84,hondromalacija,3,5
bs,85,lateralni menisk,3,5
bs,86,ligament je,3,5
bs,87,medijalne,3,5
bs,88,održan,3,5
bs,89,prate,3,5
bs,90,ili,3,5
bs,91,hvatišta,3,5
bs,92,hvatišta tetive,3,5
bs,93,ili rupture,3,5
bs,94,degeneracije ili,3,5
bs,95,fasete,3,5
bs,96,edem,3,5
bs,97,se prati,3,5
bs,98,roga,3,5
bs,99,znakova poplitealne,3,5
bs,100,smislu,3,5
de,1,der,892,262
de,2,und,775,262
de,3,des,509,262
de,4,mit,427,262
de,5,im,370,262
de,6,in,334,262
de,7,intakt,279,262
de,8,darstellung,267,262
de,9,medialen,267,262
de,10,kein,262,262
de,11,chondropathie,235,262
de,12,an,235,262
de,13,am,231,262
de,14,intakter,225,262
de,15,keine,214,262
de,16,sowie,196,262
de,17,knochenmarksignal,195,262
de,18,regelrechte,193,262
de,19,regelrechtes,191,262
de,20,in der,189,262
de,21,lateralen,188,262
de,22,kompartiment,188,262
de,23,kreuzbänder,182,262
de,24,an der,181,262
de,25,regelrechtes knochenmarksignal,168,262
de,26,ohne,161,262
de,27,gelenkerguss,149,262
de,28,bei,149,262
de,29,rissbildung,149,262
de,30,knorpel,146,262
de,31,innenmeniskus,141,262
de,32,intakte,138,262
