Label,W3_0_AUROC,W3_1_AUROC,Delta_AUROC,W3_0_AP,W3_1_AP,Delta_AP
ACL,0.4987745098039216,0.5036764705882353,0.004901960784313708,0.44655258504197026,0.4556041540694579,0.00905156902748766
MCL,0.40136054421768713,0.34807256235827666,-0.05328798185941047,0.14645956745099953,0.12885452776257375,-0.017605039688425778
Medial Meniscus,0.5805288461538461,0.4639423076923077,-0.11658653846153844,0.5226396345127983,0.4744367507821303,-0.048202883730667945
Lateral Meniscus,0.5801242236024845,0.5714285714285714,-0.008695652173913104,0.49619069896055257,0.500911078467482,0.004720379506929384
Medial OA,0.6077519379844961,0.5651162790697675,-0.04263565891472865,0.4113415519470908,0.3616308588212613,-0.04971069312582954
Lateral OA,0.6934235976789168,0.6943907156673115,0.0009671179883946612,0.3317841010435054,0.41597081251526113,0.08418671147175572
PF OA,0.6235521235521234,0.581081081081081,-0.042471042471042386,0.5917879670172532,0.47047256504585505,-0.12131540197139817
Effusion,0.42049689440993787,0.5229813664596272,0.10248447204968936,0.5650846390865035,0.6872978789776566,0.12221323989115307
Synovitis,0.4540023894862605,0.48028673835125446,0.02628434886499398,0.45067879097730734,0.5225383959835432,0.0718596050062359
Baker's,0.519927536231884,0.4682971014492753,-0.05163043478260876,0.3045561374094307,0.28253178651064587,-0.02202435089878485
Contusion,0.5870445344129555,0.4770580296896086,-0.10998650472334687,0.4760373225322392,0.34141776607910657,-0.13461955645313262
Fracture,0.5840277777777778,0.6152777777777778,0.03125,0.45442426873210084,0.4758732894213258,0.02144902068922494
