Label,PositiveCount,AUROC,AveragePrecision
ACL,24,0.5036764705882353,0.4556041540694579
MCL,9,0.34807256235827666,0.12885452776257375
Medial Meniscus,26,0.4639423076923077,0.4744367507821303
Lateral Meniscus,23,0.5714285714285714,0.500911078467482
Medial OA,15,0.5651162790697675,0.3616308588212613
Lateral OA,11,0.6943907156673115,0.41597081251526113
PF OA,21,0.581081081081081,0.47047256504585505
Effusion,35,0.5229813664596272,0.6872978789776566
Synovitis,27,0.48028673835125446,0.5225383959835432
Baker's,12,0.4682971014492753,0.28253178651064587
Contusion,19,0.4770580296896086,0.34141776607910657
Fracture,18,0.6152777777777778,0.4758732894213258
