OuterFold,Label,TrainN,TrainPositive,TrainNegative,ValidationN,ValidationPositive,ValidationNegative
1,ACL,47,20,27,11,4,7
1,MCL,47,8,39,11,1,10
1,Medial Meniscus,47,21,26,11,5,6
1,Lateral Meniscus,47,18,29,11,5,6
1,Medial OA,47,12,35,11,3,8
1,Lateral OA,47,8,39,11,3,8
1,PF OA,47,17,30,11,4,7
1,Effusion,47,28,19,11,7,4
1,Synovitis,47,21,26,11,6,5
1,Baker's,47,9,38,11,3,8
1,Contusion,47,15,32,11,4,7
1,Fracture,47,14,33,11,4,7
2,ACL,46,19,27,12,5,7
2,MCL,46,7,39,12,2,10
2,Medial Meniscus,46,20,26,12,6,6
2,Lateral Meniscus,46,18,28,12,5,7
2,Medial OA,46,11,35,12,4,8
2,Lateral OA,46,9,37,12,2,10
2,PF OA,46,17,29,12,4,8
2,Effusion,46,28,18,12,7,5
2,Synovitis,46,22,24,12,5,7
2,Baker's,46,9,37,12,3,9
2,Contusion,46,16,30,12,3,9
2,Fracture,46,14,32,12,4,8
3,ACL,47,19,28,11,5,6
3,MCL,47,7,40,11,2,9
3,Medial Meniscus,47,21,26,11,5,6
3,Lateral Meniscus,47,19,28,11,4,7
3,Medial OA,47,13,34,11,2,9
3,Lateral OA,47,9,38,11,2,9
3,PF OA,47,17,30,11,4,7
3,Effusion,47,28,19,11,7,4
3,Synovitis,47,21,26,11,6,5
3,Baker's,47,10,37,11,2,9
3,Contusion,47,15,32,11,4,7
3,Fracture,47,14,33,11,4,7
4,ACL,47,19,28,11,5,6
4,MCL,47,7,40,11,2,9
4,Medial Meniscus,47,21,26,11,5,6
4,Lateral Meniscus,47,19,28,11,4,7
4,Medial OA,47,12,35,11,3,8
4,Lateral OA,47,9,38,11,2,9
4,PF OA,47,16,31,11,5,6
4,Effusion,47,28,19,11,7,4
4,Synovitis,47,22,25,11,5,6
4,Baker's,47,10,37,11,2,9
4,Contusion,47,15,32,11,4,7
4,Fracture,47,15,32,11,3,8
5,ACL,45,19,26,13,5,8
5,MCL,45,7,38,13,2,11
5,Medial Meniscus,45,21,24,13,5,8
5,Lateral Meniscus,45,18,27,13,5,8
5,Medial OA,45,12,33,13,3,10
5,Lateral OA,45,9,36,13,2,11
5,PF OA,45,17,28,13,4,9
5,Effusion,45,28,17,13,7,6
5,Synovitis,45,22,23,13,5,8
5,Baker's,45,10,35,13,2,11
5,Contusion,45,15,30,13,4,9
5,Fracture,45,15,30,13,3,10
