Label,GoldPositive,GoldNegative,FoldSafeOOF_AUROC,FoldSafeOOF_AP,FoldSafeOOF_Brier,FoldSafePrior_Brier,FoldSafeBrierImprovementVsPrior,FoldSafeOOF_LogLoss,HeldOutEvidenceAvailableN,GateEligibleHeldOutEvidenceN,GateEligibleHeldOutEvidence_AUROC,GateEligibleHeldOutEvidence_AP,GateEligibleHeldOutEvidence_Brier,GateEligibleHeldOutEvidence_Prior_Brier,GateEligibleHeldOutEvidence_BrierImprovementVsPrior
ACL,24,34,0.926470588235294,0.9341966078917832,0.09646333851884575,0.24327439034987752,0.14681105183103177,0.33937031708294824,39.0,39.0,0.9679144385026737,0.9760026191246285,0.08744051321309125,0.25308282429827367,0.1656423110851824
MCL,9,49,0.9501133786848073,0.6563492063492063,0.09768416230993038,0.1316606516404297,0.03397648933049932,0.3606476416563377,30.0,30.0,0.8835978835978835,0.6563492063492063,0.14995262483770527,0.2191615421291995,0.06920891729149423
Medial Meniscus,26,32,0.8443509615384615,0.8432380103009324,0.13671821045972066,0.2482634088575673,0.11154519839784666,0.44753697936869213,34.0,34.0,0.875,0.9062066211619864,0.12448524584252366,0.23615925233901489,0.11167400649649123
Lateral Meniscus,23,35,0.8155279503105589,0.753381617747689,0.1549453666138782,0.2399173277336768,0.0849719611197986,0.4915995275731018,43.0,43.0,0.8333333333333334,0.7882376222790919,0.14112915818586153,0.2505409100290959,0.10941175184323437
Medial OA,15,43,0.7077519379844961,0.6095239130922957,0.16562023076425506,0.19315653337803187,0.02753630261377682,0.5138833657847568,7.0,0.0,,,,,
Lateral OA,11,47,0.6595744680851064,0.46294996294996293,0.15252199920745635,0.1546371241328378,0.002115124925381462,0.4856480729198704,2.0,0.0,,,,,
PF OA,21,37,0.7496782496782496,0.73132334477978,0.17285135817554356,0.23236253671961063,0.05951117854406707,0.5287540774957418,10.0,0.0,,,,,
Effusion,35,23,0.6931677018633541,0.7816322053486825,0.2140965487377987,0.240296056264219,0.02619950752642028,0.6148010874087345,51.0,51.0,0.7411290322580645,0.8078882419380042,0.19931336160220292,0.2441786885783463,0.04486532697614337
Synovitis,27,31,0.5495818399044204,0.5407130814996743,0.2462246295781184,0.2513514143336485,0.005126784755530106,0.6925653759471074,15.0,0.0,,,,,
Baker's,12,46,0.8306159420289855,0.74882395017863,0.10683605555653655,0.1652886640470348,0.05845260849049824,0.3759033134139647,22.0,22.0,0.8666666666666667,0.8554501054501055,0.14892758097222292,0.2549246410538598,0.1059970600816369
Contusion,19,39,0.7037786774628879,0.5184417050405852,0.20286445228331107,0.22145331143614594,0.01858885915283487,0.6014099032235779,38.0,22.0,0.40495867768595045,0.45095581780073757,0.331692710494679,0.2526980523234426,-0.07899465817123641
Fracture,18,40,0.8243055555555556,0.6181445892399239,0.16204034370230114,0.21573746426004298,0.05369712055774184,0.5089312583921609,25.0,25.0,0.7435897435897436,0.6696370748406948,0.18018836626761778,0.2712610686229566,0.09107270235533885
MACRO_MEAN,240,456,0.7712431042776814,0.6832265162015955,0.15907222465897464,0.2114499069294269,0.05237768227045225,0.4967542433555829,26.333333333333332,22.166666666666668,0.7895237219542895,0.7638409136180571,0.17039119517698806,0.24775087242177363,0.07735967724478562
