OuterFold,Label,UnlabeledStudies,PseudoLabelGatePass,PseudoLabelGateReason,EvidenceAvailableN,SoftLabelAvailableN,SoftLabelCoverage,MeanProbabilityAvailable,MedianProbabilityAvailable,StdProbabilityAvailable,SelectionScoreN_ge_0.5,RuleStructuredN,SemanticRecoveredN
1,ACL,4349,True,pass,1588,1588,0.36514141181880894,0.3575318146682386,0.19669025825277556,0.2744346993602346,1256,2427,0
1,MCL,4349,True,pass,1611,1611,0.37042998390434584,0.31690456111349,0.21005155644521445,0.19823959801401633,1254,2242,0
1,Medial Meniscus,4349,True,pass,2453,2453,0.564037709818349,0.5484644911868737,0.6605967875024884,0.2846022859470837,1638,2901,3
1,Lateral Meniscus,4349,True,pass,2599,2599,0.5976086456656703,0.3464209212303204,0.225146614851039,0.21990525149740117,2031,3135,3
1,Medial OA,4349,False,insufficient_evidence_n,342,0,0.0,,,,0,333,9
1,Lateral OA,4349,False,insufficient_evidence_n,207,0,0.0,,,,0,201,6
1,PF OA,4349,False,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,830,0,0.0,,,,0,797,33
1,Effusion,4349,True,pass,3132,3132,0.720165555300069,0.47901525982753673,0.5413050063887037,0.18393202287131824,830,3132,0
1,Synovitis,4349,False,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,460,0,0.0,,,,0,460,0
1,Baker's,4349,True,pass,1644,1644,0.3780179351575075,0.5110863789686242,0.5140274366582316,0.2422240089983365,548,1644,0
1,Contusion,4349,True,pass,1662,1662,0.382156817659232,0.3957533942457032,0.35567151449735035,0.18064499744559792,662,1662,0
1,Fracture,4349,True,pass,859,859,0.1975166704989653,0.3487429838186392,0.2104634237672316,0.22013771550043226,590,857,2
2,ACL,4349,True,pass,1588,1588,0.36514141181880894,0.38311405627785594,0.18813283386431684,0.29669142201032006,1309,2427,0
2,MCL,4349,True,pass,1611,1611,0.37042998390434584,0.3085501085890869,0.2161788549837049,0.17132581358612806,1205,2242,0
2,Medial Meniscus,4349,True,pass,2453,2453,0.564037709818349,0.5609063101218495,0.6984988131748965,0.28362751085244237,1694,2901,3
2,Lateral Meniscus,4349,True,pass,2599,2599,0.5976086456656703,0.3540304088905265,0.23134781818360303,0.21650001575659547,1800,3135,3
2,Medial OA,4349,False,insufficient_evidence_n|evidence_brier_not_better_than_prior,342,0,0.0,,,,0,333,9
2,Lateral OA,4349,False,insufficient_evidence_n,207,0,0.0,,,,0,201,6
2,PF OA,4349,False,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,830,0,0.0,,,,0,797,33
2,Effusion,4349,True,pass,3132,3132,0.720165555300069,0.48289786770305854,0.5700080711652873,0.2090437783504161,968,3132,0
2,Synovitis,4349,False,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,460,0,0.0,,,,0,460,0
2,Baker's,4349,True,pass,1644,1644,0.3780179351575075,0.4849120616046599,0.4771986569473144,0.22925158966611855,844,1644,0
2,Contusion,4349,False,evidence_brier_not_better_than_prior,1662,0,0.0,,,,0,1662,0
2,Fracture,4349,True,pass,859,859,0.1975166704989653,0.3580278665592193,0.22054983137917156,0.2108353687293733,513,857,2
3,ACL,4349,True,pass,1588,1588,0.36514141181880894,0.33571526828368087,0.19343935773130216,0.273074303625177,1274,2427,0
3,MCL,4349,True,pass,1611,1611,0.37042998390434584,0.3049080194721355,0.21814912967823102,0.1598072704919118,1202,2242,0
3,Medial Meniscus,4349,True,pass,2453,2453,0.564037709818349,0.5445365599228901,0.6761107256932222,0.29054825202556633,1695,2901,3
3,Lateral Meniscus,4349,True,pass,2599,2599,0.5976086456656703,0.3537369042268334,0.21064434694618653,0.24206523285448756,2124,3135,3
3,Medial OA,4349,False,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,342,0,0.0,,,,0,333,9
3,Lateral OA,4349,False,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,207,0,0.0,,,,0,201,6
3,PF OA,4349,False,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,830,0,0.0,,,,0,797,33
3,Effusion,4349,True,pass,3132,3132,0.720165555300069,0.5035675897432755,0.5769356125579498,0.19894447177338628,987,3132,0
3,Synovitis,4349,False,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,460,0,0.0,,,,0,460,0
3,Baker's,4349,True,pass,1644,1644,0.3780179351575075,0.5111066742835166,0.5458055401609383,0.23352715451637956,838,1644,0
3,Contusion,4349,True,pass,1662,1662,0.382156817659232,0.4325365673166171,0.44075040792636366,0.1807011147717165,245,1662,0
3,Fracture,4349,True,pass,859,859,0.1975166704989653,0.3730178572727399,0.22202607447671352,0.23384394792802696,522,857,2
4,ACL,4349,True,pass,1588,1588,0.36514141181880894,0.351614481780506,0.2041967918201692,0.29486807561283296,1308,2427,0
4,MCL,4349,True,pass,1611,1611,0.37042998390434584,0.29689765078267083,0.20928237423266066,0.1655940945843207,1197,2242,0
4,Medial Meniscus,4349,True,pass,2453,2453,0.564037709818349,0.5437897932511714,0.6531396309643095,0.27921225919646137,1595,2901,3
4,Lateral Meniscus,4349,True,pass,2599,2599,0.5976086456656703,0.3311797687737386,0.20552362704295427,0.2447004756312382,2153,3135,3
4,Medial OA,4349,False,insufficient_evidence_n,342,0,0.0,,,,0,333,9
4,Lateral OA,4349,False,insufficient_evidence_n,207,0,0.0,,,,0,201,6
4,PF OA,4349,False,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,830,0,0.0,,,,0,797,33
4,Effusion,4349,True,pass,3132,3132,0.720165555300069,0.5073043659118106,0.5699995223742118,0.1902404309925757,881,3132,0
4,Synovitis,4349,False,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,460,0,0.0,,,,0,460,0
4,Baker's,4349,True,pass,1644,1644,0.3780179351575075,0.5139776138899275,0.49091198602695035,0.25875433553135857,890,1644,0
4,Contusion,4349,False,evidence_auc_below_gate|evidence_brier_not_better_than_prior,1662,0,0.0,,,,0,1662,0
4,Fracture,4349,True,pass,859,859,0.1975166704989653,0.36583442636482577,0.21648304790646697,0.22849303310655292,580,857,2
5,ACL,4349,True,pass,1588,1588,0.36514141181880894,0.3576002931948329,0.1881445813385181,0.27766924740537013,1257,2427,0
5,MCL,4349,True,pass,1611,1611,0.37042998390434584,0.30104838137023027,0.211201034916695,0.16460607992251342,1190,2242,0
5,Medial Meniscus,4349,True,pass,2453,2453,0.564037709818349,0.5479218364192068,0.683602964511339,0.3191350996947886,1862,2901,3
5,Lateral Meniscus,4349,True,pass,2599,2599,0.5976086456656703,0.36488476448839996,0.23792452746701048,0.23002658116440935,1462,3135,3
5,Medial OA,4349,False,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,342,0,0.0,,,,0,333,9
5,Lateral OA,4349,False,insufficient_evidence_n,207,0,0.0,,,,0,201,6
5,PF OA,4349,False,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,830,0,0.0,,,,0,797,33
5,Effusion,4349,True,pass,3132,3132,0.720165555300069,0.5156414399764028,0.5950839855522747,0.19974962643862107,999,3132,0
5,Synovitis,4349,False,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,460,0,0.0,,,,0,460,0
5,Baker's,4349,True,pass,1644,1644,0.3780179351575075,0.5238642457051678,0.5503128618565881,0.2418451742462457,500,1644,0
5,Contusion,4349,True,pass,1662,1662,0.382156817659232,0.39391004364588017,0.34668152932215995,0.19328638212054047,725,1662,0
5,Fracture,4349,True,pass,859,859,0.1975166704989653,0.41803038963588707,0.2541854443061577,0.24708988372165053,442,857,2
