OuterFold,Label,Feature,StandardizedCoefficient
1,ACL,EvidencePositiveScore,0.40741842121336513
1,ACL,EvidenceNegativeScore,-0.32703686563972667
1,ACL,RelatedScore,-0.07019914972655555
1,ACL,UncertaintyFlag,0.0
1,ACL,FusedAssertionConfidence,0.13256309279894268
1,ACL,RuleDecidableFlag,0.18855207342372615
1,ACL,SemanticDirectStrength,0.22511327506876294
1,ACL,SemanticDirectMargin,0.42597155225869227
1,ACL,SeverityLow,-0.2085006075187664
1,ACL,SeverityModerate,-0.2056665744615853
1,ACL,SeverityHigh,0.33969482664966244
1,ACL,SeverityDegenerative,-0.002359812587534907
1,ACL,Intercept,-0.14952665678310792
1,MCL,EvidencePositiveScore,0.2152024741900612
1,MCL,EvidenceNegativeScore,-0.12817070028900587
1,MCL,RelatedScore,-0.01094259982856277
1,MCL,UncertaintyFlag,0.19326110379481867
1,MCL,FusedAssertionConfidence,0.1105741940061189
1,MCL,RuleDecidableFlag,0.09789782512836066
1,MCL,SemanticDirectStrength,0.21427002580587667
1,MCL,SemanticDirectMargin,0.2641160010839759
1,MCL,SeverityLow,0.02284332567641006
1,MCL,SeverityModerate,0.4883954868361654
1,MCL,SeverityHigh,0.2885704433222385
1,MCL,SeverityDegenerative,0.0
1,MCL,Intercept,-0.7595326066852975
1,Medial Meniscus,EvidencePositiveScore,0.4007400353301064
1,Medial Meniscus,EvidenceNegativeScore,-0.31055676473502647
1,Medial Meniscus,RelatedScore,-0.1576396872037287
1,Medial Meniscus,UncertaintyFlag,-0.23003684500638422
1,Medial Meniscus,FusedAssertionConfidence,0.034525478450859265
1,Medial Meniscus,RuleDecidableFlag,0.209692207374331
1,Medial Meniscus,SemanticDirectStrength,0.19046799469976053
1,Medial Meniscus,SemanticDirectMargin,0.3699836137759787
1,Medial Meniscus,SeverityLow,0.1898748862264101
1,Medial Meniscus,SeverityModerate,0.11773967124471708
1,Medial Meniscus,SeverityHigh,0.11217911431359692
1,Medial Meniscus,SeverityDegenerative,0.014184713147036248
1,Medial Meniscus,Intercept,-0.10143837251757075
1,Lateral Meniscus,EvidencePositiveScore,0.4522826965691709
1,Lateral Meniscus,EvidenceNegativeScore,-0.2898614464269052
1,Lateral Meniscus,RelatedScore,0.1113649556359601
1,Lateral Meniscus,UncertaintyFlag,-0.24915015224181547
1,Lateral Meniscus,FusedAssertionConfidence,0.10920863269614442
1,Lateral Meniscus,RuleDecidableFlag,0.06371536996148952
1,Lateral Meniscus,SemanticDirectStrength,0.1979141666898727
1,Lateral Meniscus,SemanticDirectMargin,0.3666676935656077
1,Lateral Meniscus,SeverityLow,0.03482149237146253
1,Lateral Meniscus,SeverityModerate,-0.09656885925158801
1,Lateral Meniscus,SeverityHigh,0.0
1,Lateral Meniscus,SeverityDegenerative,-0.14751938328224787
1,Lateral Meniscus,Intercept,-0.265764180497874
1,Medial OA,EvidencePositiveScore,0.17038360512511302
1,Medial OA,EvidenceNegativeScore,-0.08660471693179463
1,Medial OA,RelatedScore,0.3940295131856954
1,Medial OA,UncertaintyFlag,0.0
1,Medial OA,FusedAssertionConfidence,0.10433549801467921
1,Medial OA,RuleDecidableFlag,0.10433549801467921
1,Medial OA,SemanticDirectStrength,-0.015090948600952595
1,Medial OA,SemanticDirectMargin,-0.07145878057626175
1,Medial OA,SeverityLow,0.11290100089838095
1,Medial OA,SeverityModerate,0.14730299894400797
1,Medial OA,SeverityHigh,0.13881702544412164
1,Medial OA,SeverityDegenerative,0.13763807209212223
1,Medial OA,Intercept,-0.49973532384369584
1,Lateral OA,EvidencePositiveScore,0.21087298042194003
1,Lateral OA,EvidenceNegativeScore,-0.08258440300703941
1,Lateral OA,RelatedScore,0.20898808640484437
1,Lateral OA,UncertaintyFlag,0.0
1,Lateral OA,FusedAssertionConfidence,0.04989277168436237
1,Lateral OA,RuleDecidableFlag,0.04989276124130411
1,Lateral OA,SemanticDirectStrength,0.15055876423271858
1,Lateral OA,SemanticDirectMargin,0.19767205072342672
1,Lateral OA,SeverityLow,0.019841891897591096
1,Lateral OA,SeverityModerate,0.0
1,Lateral OA,SeverityHigh,0.13725586429309208
1,Lateral OA,SeverityDegenerative,0.2883427057470886
1,Lateral OA,Intercept,-0.7214510919633651
1,PF OA,EvidencePositiveScore,0.3297729136220896
1,PF OA,EvidenceNegativeScore,-0.04608353495305104
1,PF OA,RelatedScore,0.35446415115014573
1,PF OA,UncertaintyFlag,0.0
1,PF OA,FusedAssertionConfidence,0.2945640639333916
1,PF OA,RuleDecidableFlag,0.2945640639333916
1,PF OA,SemanticDirectStrength,0.12126267037968332
1,PF OA,SemanticDirectMargin,0.1850865165817185
1,PF OA,SeverityLow,0.009319597941268798
1,PF OA,SeverityModerate,0.04673066487129756
1,PF OA,SeverityHigh,0.10748380670754555
1,PF OA,SeverityDegenerative,0.0
1,PF OA,Intercept,-0.283484600754293
1,Effusion,EvidencePositiveScore,0.22024250999384426
1,Effusion,EvidenceNegativeScore,-0.2766924968913964
1,Effusion,RelatedScore,0.0
1,Effusion,UncertaintyFlag,0.0
1,Effusion,FusedAssertionConfidence,-0.12437237564040418
1,Effusion,RuleDecidableFlag,-0.03374714168998953
1,Effusion,SemanticDirectStrength,0.25322050277933383
1,Effusion,SemanticDirectMargin,0.09840693966322098
1,Effusion,SeverityLow,-0.2092568568491975
1,Effusion,SeverityModerate,0.1412558356882478
1,Effusion,SeverityHigh,0.08192506752625514
1,Effusion,SeverityDegenerative,0.06307960775722792
1,Effusion,Intercept,0.21857710941258862
1,Synovitis,EvidencePositiveScore,0.1398397119009026
1,Synovitis,EvidenceNegativeScore,-0.021362603615517523
1,Synovitis,RelatedScore,0.1442997956700261
1,Synovitis,UncertaintyFlag,0.0
1,Synovitis,FusedAssertionConfidence,0.1497841385544556
1,Synovitis,RuleDecidableFlag,0.14978413405600738
1,Synovitis,SemanticDirectStrength,-0.10004741664691198
1,Synovitis,SemanticDirectMargin,-0.10004869152062164
1,Synovitis,SeverityLow,0.022395175039149062
1,Synovitis,SeverityModerate,-0.05090599814420171
1,Synovitis,SeverityHigh,0.12318795469668556
1,Synovitis,SeverityDegenerative,0.12318795469668556
1,Synovitis,Intercept,-0.10800687788890541
1,Baker's,EvidencePositiveScore,0.28725805534196264
1,Baker's,EvidenceNegativeScore,-0.16350459507749326
1,Baker's,RelatedScore,0.0
1,Baker's,UncertaintyFlag,0.0
1,Baker's,FusedAssertionConfidence,0.16802281747892442
1,Baker's,RuleDecidableFlag,0.16802278625512057
1,Baker's,SemanticDirectStrength,0.18354467011256664
1,Baker's,SemanticDirectMargin,0.22853896874916838
1,Baker's,SeverityLow,0.18526011523751607
1,Baker's,SeverityModerate,0.29311010999028336
1,Baker's,SeverityHigh,0.12729815255233762
1,Baker's,SeverityDegenerative,0.12729815255233762
1,Baker's,Intercept,-0.6942130201830046
1,Contusion,EvidencePositiveScore,0.24004334409705474
1,Contusion,EvidenceNegativeScore,-0.23126616680836667
1,Contusion,RelatedScore,0.005813465854234575
1,Contusion,UncertaintyFlag,0.15766352764513933
1,Contusion,FusedAssertionConfidence,0.36048163133730216
1,Contusion,RuleDecidableFlag,0.04126304660334173
1,Contusion,SemanticDirectStrength,0.27223455763282695
1,Contusion,SemanticDirectMargin,0.26965728424076035
1,Contusion,SeverityLow,0.07767589466723117
1,Contusion,SeverityModerate,0.0
1,Contusion,SeverityHigh,0.22426186762415276
1,Contusion,SeverityDegenerative,-0.13521655611196934
1,Contusion,Intercept,-0.4041086001367169
1,Fracture,EvidencePositiveScore,0.2546264041949919
1,Fracture,EvidenceNegativeScore,-0.2207384158630311
1,Fracture,RelatedScore,0.34150631648395724
1,Fracture,UncertaintyFlag,-0.09250914115757375
1,Fracture,FusedAssertionConfidence,0.13963661130453736
1,Fracture,RuleDecidableFlag,0.040530367290923776
