StudyInstanceUID,OuterFold
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,2
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,5
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,1
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,5
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,2
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,4
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,4
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,3
1.2.826.0.1.3680043.8.498.11851412923016044948101698015974810604,3
1.2.826.0.1.3680043.8.498.11915937982684988073644209606907169581,1
1.2.826.0.1.3680043.8.498.12448079646359892252441208258836556945,3
1.2.826.0.1.3680043.8.498.12505035424093604269515328931488770819,1
1.2.826.0.1.3680043.8.498.12606657226568558340797193167488111973,2
1.2.826.0.1.3680043.8.498.12801308844398614687904447633432197492,5
1.2.826.0.1.3680043.8.498.12978510157202852202776899910529174803,3
1.2.826.0.1.3680043.8.498.13267780356245120052411517053322874891,2
1.2.826.0.1.3680043.8.498.13335129881737731410081002627729200903,3
1.2.826.0.1.3680043.8.498.15593638897292057356864060466120253309,5
1.2.826.0.1.3680043.8.498.16060119389060497136231217718921482192,1
1.2.826.0.1.3680043.8.498.17844546765907321649997094867791102711,5
1.2.826.0.1.3680043.8.498.18392509497170616983977319528036573378,2
1.2.826.0.1.3680043.8.498.22109739962224309418874538994436903404,2
1.2.826.0.1.3680043.8.498.25695966186129395049687747156570466645,5
1.2.826.0.1.3680043.8.498.26790702379506190936834447203448882465,5
1.2.826.0.1.3680043.8.498.27437263843446879932281897446100134924,5
1.2.826.0.1.3680043.8.498.28925345859498351203477642741908452608,4
1.2.826.0.1.3680043.8.498.29764868091238287072166823522853419550,2
1.2.826.0.1.3680043.8.498.30246079718471552972130572444383079911,4
1.2.826.0.1.3680043.8.498.32321830776739689645700555055955725945,4
1.2.826.0.1.3680043.8.498.37040910196459054543310335064167212742,1
1.2.826.0.1.3680043.8.498.37392127307867238524251864751713143683,1
1.2.826.0.1.3680043.8.498.39500553372517290823815606829518305500,3
1.2.826.0.1.3680043.8.498.41600498783384864111179175518614837125,1
1.2.826.0.1.3680043.8.498.47921753480592595198052407850568677187,3
1.2.826.0.1.3680043.8.498.48348615349418615469875801439348424274,4
1.2.826.0.1.3680043.8.498.48946580946665031852355005294734101132,3
1.2.826.0.1.3680043.8.498.54977581323931277817074741182670080450,5
1.2.826.0.1.3680043.8.498.56512564464301544960446419143135447363,2
1.2.826.0.1.3680043.8.498.59483999067816153759785789654766826710,4
1.2.826.0.1.3680043.8.498.62465595376489211274225312453216559395,5
1.2.826.0.1.3680043.8.498.62549354677638403845904556149868367236,3
1.2.826.0.1.3680043.8.498.64408609256163127278435484217683272910,2
1.2.826.0.1.3680043.8.498.64703506772167798469048460791472465039,2
1.2.826.0.1.3680043.8.498.65708905118633339771181857781063784327,4
1.2.826.0.1.3680043.8.498.67188121544063723837669983597453941774,3
1.2.826.0.1.3680043.8.498.69392348385274125385290015404144639002,4
1.2.826.0.1.3680043.8.498.72853333220043794904856138561095171921,5
1.2.826.0.1.3680043.8.498.73527530686853911124431549317032662220,5
1.2.826.0.1.3680043.8.498.73926443729786165628848843707532839995,2
1.2.826.0.1.3680043.8.498.75187434248356774277526985329346125190,5
1.2.826.0.1.3680043.8.498.77362718298550276679350855963451855003,1
1.2.826.0.1.3680043.8.498.78512215519177850923279235346968676828,4
1.2.826.0.1.3680043.8.498.82166943552764439138333504456139890254,1
1.2.826.0.1.3680043.8.498.86968600239724310678905311244945464037,4
1.2.826.0.1.3680043.8.498.88077418639301174409926781329613570435,2
1.2.826.0.1.3680043.8.498.90283565381042081768587894596970552767,1
1.2.826.0.1.3680043.8.498.94433753471890306108089557761231739312,1
1.2.826.0.1.3680043.8.498.97274720257634584071500649275217521662,3
