Source,Label,N,Positive,Negative,AUROC,AveragePrecision,Brier,PriorBrier,BrierImprovementVsPrior,LogLoss
W2.3,ACL,58,24,34,0.926470588235294,0.9341966078917832,0.09646333851884573,0.2425683709869204,0.14610503246807469,0.3393703170829482
W2.3,MCL,58,9,49,0.9501133786848073,0.6563492063492063,0.09768416230993038,0.13109393579072537,0.03340977348079499,0.3606476416563377
W2.3,Medial Meniscus,58,26,32,0.8443509615384615,0.8432380103009324,0.13671821045972063,0.24732461355529128,0.11060640309557065,0.44753697936869213
W2.3,Lateral Meniscus,58,23,35,0.8155279503105589,0.753381617747689,0.1549453666138782,0.23929845422116525,0.08435308760728705,0.4915995275731018
W2.3,Medial OA,58,15,43,0.7077519379844961,0.6095239130922957,0.16562023076425506,0.1917360285374554,0.026115797773200333,0.5138833657847569
W2.3,Lateral OA,58,11,47,0.6595744680851064,0.46294996294996293,0.15252199920745635,0.1536860879904875,0.0011640887830311475,0.4856480729198704
W2.3,PF OA,58,21,37,0.7496782496782496,0.73132334477978,0.1728513581755435,0.23097502972651607,0.05812367155097256,0.5287540774957418
W2.3,Effusion,58,35,23,0.6931677018633541,0.7816322053486825,0.21409654873779863,0.23929845422116527,0.02520190548336665,0.6148010874087343
W2.3,Synovitis,58,27,31,0.5495818399044204,0.5407130814996743,0.2462246295781184,0.24881093935790727,0.002586309779788881,0.6925653759471073
W2.3,Baker's,58,12,46,0.8306159420289855,0.74882395017863,0.10683605555653652,0.16409036860879905,0.05725431305226253,0.37590331341396466
W2.3,Contusion,58,19,39,0.7037786774628879,0.5184417050405852,0.20286445228331107,0.22027348394768137,0.0174090316643703,0.6014099032235778
W2.3,Fracture,58,18,40,0.8243055555555556,0.6181445892399239,0.1620403437023011,0.2140309155766944,0.05199057187439329,0.5089312583921608
W2.4,ACL,58,24,34,0.9938725490196079,0.9923115079365077,0.06867529727580526,0.2425683709869204,0.17389307371111515,0.26398455867949777
W2.4,MCL,58,9,49,0.9569160997732427,0.7544853294853295,0.09318109088514151,0.13109393579072537,0.03791284490558386,0.32704481705715227
W2.4,Medial Meniscus,58,26,32,0.9008413461538463,0.8859919834308856,0.11481692964110285,0.24732461355529128,0.13250768391418843,0.3901136059417174
W2.4,Lateral Meniscus,58,23,35,0.8273291925465838,0.747709291419433,0.1661876884672867,0.23929845422116525,0.07311076575387854,0.5169888545092364
W2.4,Medial OA,58,15,43,0.8976744186046511,0.8402334267040149,0.13581027019098274,0.1917360285374554,0.05592575834647265,0.43872214122121667
W2.4,Lateral OA,58,11,47,0.7707930367504835,0.5057582123758594,0.1869771849021526,0.1536860879904875,-0.0332910969116651,0.564320364912872
W2.4,PF OA,58,21,37,0.8712998712998713,0.8788223714176531,0.14621058224253602,0.23097502972651607,0.08476444748398004,0.46056898295076887
W2.4,Effusion,58,35,23,0.8043478260869567,0.8645111619663239,0.1936828404864893,0.23929845422116527,0.045615613734675986,0.5743592649439008
W2.4,Synovitis,58,27,31,0.6541218637992832,0.652557212047804,0.2245503430745566,0.24881093935790727,0.02426059628335067,0.6415023900952946
W2.4,Baker's,58,12,46,0.9166666666666666,0.8452166945373467,0.11308629481499086,0.16409036860879905,0.0510040737938082,0.3923692307869337
W2.4,Contusion,58,19,39,0.7294197031039137,0.5975431134544278,0.21138824202195552,0.22027348394768137,0.008885241925725845,0.6109145448802937
W2.4,Fracture,58,18,40,0.875,0.698048199028591,0.16062499993302864,0.2140309155766944,0.05340591564366576,0.5031307716565495
primary_teacher,ACL,58,24,34,0.9974424552429668,0.9935587761674718,0.09756491228070176,0.2425683709869204,0.14500345870621867,0.3014228948147283
primary_teacher,MCL,58,9,49,0.9756944444444444,0.8055555555555556,0.10012631578947369,0.13109393579072537,0.03096762000125168,0.31958817296017394
primary_teacher,Medial Meniscus,58,26,32,0.9429280397022334,0.910839799820063,0.09829473684210528,0.24732461355529128,0.14902987671318602,0.32459639038714533
primary_teacher,Lateral Meniscus,58,23,35,0.8414322250639387,0.7326424168529432,0.16679298245614038,0.23929845422116525,0.07250547176502486,0.5134288590483547
primary_teacher,Medial OA,58,15,43,0.9079365079365079,0.8070388091440723,0.12409122807017543,0.1917360285374554,0.06764480046727996,0.3963731163013486
primary_teacher,Lateral OA,58,11,47,0.7885375494071147,0.4968010060115323,0.15422456140350876,0.1536860879904875,-0.0005384734130212676,0.5100392714160509
primary_teacher,PF OA,58,21,37,0.8912162162162163,0.8425438596491228,0.13291929824561405,0.23097502972651607,0.09805573148090202,0.40734664913419294
primary_teacher,Effusion,58,35,23,0.829923273657289,0.8367263427109974,0.17324210526315795,0.23929845422116527,0.06605634895800733,0.5079613559331217
primary_teacher,Synovitis,58,27,31,0.6938271604938271,0.6467383737120579,0.20847017543859647,0.24881093935790727,0.040340763919310796,0.606581390563526
primary_teacher,Baker's,58,12,46,0.9324074074074074,0.7440972222222222,0.10631578947368424,0.16409036860879905,0.057774579135114815,0.367150490899445
primary_teacher,Contusion,58,19,39,0.7678062678062678,0.5709970713148949,0.2576210526315789,0.22027348394768137,-0.03734756868389755,0.7192522466405971
primary_teacher,Fracture,58,18,40,0.8713235294117647,0.7173718610251119,0.13531929824561403,0.2140309155766944,0.07871161733108037,0.4276517946181118
