Label,W23_AUROC,W24_AUROC,Delta_AUROC,W23_AP,W24_AP,Delta_AP,W23_Brier,W24_Brier,Delta_Brier_W24MinusW23
ACL,0.926470588235294,0.9938725490196079,0.06740196078431382,0.9341966078917832,0.9923115079365077,0.05811490004472453,0.09646333851884573,0.06867529727580526,-0.027788041243040462
MCL,0.9501133786848073,0.9569160997732427,0.006802721088435382,0.6563492063492063,0.7544853294853295,0.09813612313612319,0.09768416230993038,0.09318109088514151,-0.004503071424788868
Medial Meniscus,0.8443509615384615,0.9008413461538463,0.0564903846153848,0.8432380103009324,0.8859919834308856,0.042753973129953216,0.13671821045972063,0.11481692964110285,-0.02190128081861778
Lateral Meniscus,0.8155279503105589,0.8273291925465838,0.011801242236024856,0.753381617747689,0.747709291419433,-0.005672326328255983,0.1549453666138782,0.1661876884672867,0.01124232185340851
Medial OA,0.7077519379844961,0.8976744186046511,0.18992248062015504,0.6095239130922957,0.8402334267040149,0.2307095136117192,0.16562023076425506,0.13581027019098274,-0.029809960573272315
Lateral OA,0.6595744680851064,0.7707930367504835,0.11121856866537705,0.46294996294996293,0.5057582123758594,0.04280824942589645,0.15252199920745635,0.1869771849021526,0.034455185694696244
PF OA,0.7496782496782496,0.8712998712998713,0.12162162162162171,0.73132334477978,0.8788223714176531,0.14749902663787307,0.1728513581755435,0.14621058224253602,-0.026640775933007482
Effusion,0.6931677018633541,0.8043478260869567,0.11118012422360257,0.7816322053486825,0.8645111619663239,0.08287895661764144,0.21409654873779863,0.1936828404864893,-0.020413708251309337
Synovitis,0.5495818399044204,0.6541218637992832,0.10454002389486272,0.5407130814996743,0.652557212047804,0.1118441305481297,0.2462246295781184,0.2245503430745566,-0.02167428650356179
Baker's,0.8306159420289855,0.9166666666666666,0.08605072463768115,0.74882395017863,0.8452166945373467,0.0963927443587167,0.10683605555653652,0.11308629481499086,0.006250239258454332
Contusion,0.7037786774628879,0.7294197031039137,0.025641025641025772,0.5184417050405852,0.5975431134544278,0.07910140841384261,0.20286445228331107,0.21138824202195552,0.008523789738644455
Fracture,0.8243055555555556,0.875,0.050694444444444375,0.6181445892399239,0.698048199028591,0.07990360978866717,0.1620403437023011,0.16062499993302864,-0.0014153437692724646
