OuterFold,Label,Cells,AvailableN,AvailableFraction,HighSelectionN,HighSelectionFraction,MeanWeight,MedianWeight,MeanAgreement,DisagreementFraction,MeanTeacherCount,W23NotAddressedFraction
1,ACL,4349,4349,1.0,1261,0.2899517130374799,0.4198054098484166,0.35,0.8621344866633741,0.08162796045067831,2.0,0.6348585881811911
1,Baker's,4349,4349,1.0,85,0.019544722924810302,0.3927057604896487,0.35,0.8911696202604117,0.06346286502644286,2.0,0.6219820648424925
1,Contusion,4349,4349,1.0,0,0.0,0.3327160901269724,0.34895213879833026,0.8865533954476084,0.2099333180041389,2.0,0.617843182340768
1,Effusion,4349,4349,1.0,0,0.0,0.26428156642766176,0.2551423663070347,0.8738873836108924,0.19337778799724076,2.0,0.279834444699931
1,Fracture,4349,4349,1.0,0,0.0,0.34007774654930384,0.333596974088999,0.8977410600354703,0.028052425845021843,2.0,0.8024833295010347
1,Lateral Meniscus,4349,4349,1.0,0,0.0,0.33064716930813404,0.33695393770816384,0.9001929040701477,0.1209473442170614,2.0,0.4023913543343297
1,Lateral OA,4349,4349,1.0,0,0.0,0.3190985473427296,0.35,0.8735506330223486,0.20050586341687746,2.0,0.9524028512301679
1,MCL,4349,4349,1.0,1377,0.3166245113819269,0.4424624956641543,0.35,0.8973546853941022,0.11037020004598758,2.0,0.6295700160956542
1,Medial Meniscus,4349,4349,1.0,57,0.013106461255461025,0.40644421715747303,0.4200933790036053,0.8526034075943454,0.19889629799954012,2.0,0.43596229018165095
1,Medial OA,4349,4349,1.0,0,0.0,0.3467821629474296,0.35,0.8637498748813283,0.25454127385605885,2.0,0.9213612324672339
1,PF OA,4349,4349,1.0,0,0.0,0.36552014024305024,0.35,0.8918035941535747,0.22074040009197515,2.0,0.8091515290871465
1,Synovitis,4349,234,0.05380547252241895,0,0.0,0.08272946584424713,0.07349668232409297,0.9458104180079887,0.965049436652104,2.0,0.894228558289262
2,ACL,4349,4349,1.0,1393,0.32030351805012647,0.43116424086841837,0.35,0.8850054746958117,0.0790986433662911,2.0,0.6348585881811911
2,Baker's,4349,4349,1.0,0,0.0,0.35033896638570783,0.3457954922448144,0.8881185481061666,0.06300298919291791,2.0,0.6219820648424925
2,Contusion,4349,4349,1.0,0,0.0,0.24787175044474444,0.2462200507207265,0.8893826197934728,0.20901356633708898,2.0,0.617843182340768
2,Effusion,4349,4349,1.0,0,0.0,0.25600870925846325,0.24628662735014534,0.8827798939082411,0.20027592550011497,2.0,0.279834444699931
2,Fracture,4349,4349,1.0,0,0.0,0.32399345608468605,0.31276964997538736,0.8999664174289022,0.027592550011496894,2.0,0.8024833295010347
2,Lateral Meniscus,4349,4349,1.0,0,0.0,0.30708911467370287,0.2987925898486834,0.8722998166429925,0.10623131754426304,2.0,0.4023913543343297
2,Lateral OA,4349,4325,0.9944814899977006,0,0.0,0.21334471598694038,0.24854804418770413,0.9210984748110708,0.19981604966659003,2.0,0.9524028512301679
2,MCL,4349,4349,1.0,95,0.021844102092435043,0.4071391922942876,0.35,0.8403967769712353,0.08760634628650264,2.0,0.6295700160956542
2,Medial Meniscus,4349,4349,1.0,8,0.0018395033340997931,0.3959191851876487,0.4066428345096517,0.8687653649541539,0.20855369050356404,2.0,0.43596229018165095
2,Medial OA,4349,4349,1.0,83,0.019084847091285353,0.3720686134460488,0.35,0.8482685675894834,0.24419406760174753,2.0,0.9213612324672339
2,PF OA,4349,4349,1.0,0,0.0,0.37191586528070714,0.35,0.8854717393277024,0.20717406300298918,2.0,0.8091515290871465
2,Synovitis,4349,223,0.05127615543803173,0,0.0,0.07653842044977363,0.068543688376481,0.952120243237944,0.03770981834904576,2.0,0.894228558289262
3,ACL,4349,4349,1.0,1280,0.29432053345596687,0.4311708702020799,0.35,0.8581705249414421,0.080018395033341,2.0,0.6348585881811911
3,Baker's,4349,4349,1.0,0,0.0,0.35989649911484917,0.35,0.8945394325027578,0.06369280294320534,2.0,0.6219820648424925
3,Contusion,4349,4349,1.0,0,0.0,0.280336187896939,0.27463997600629925,0.910070545931995,0.20372499425155208,2.0,0.617843182340768
3,Effusion,4349,4349,1.0,0,0.0,0.2543063182720766,0.2434475393511951,0.8806322254451242,0.22602897217751208,2.0,0.279834444699931
3,Fracture,4349,4349,1.0,0,0.0,0.3302969123393835,0.3205670816431267,0.9129777144771088,0.03150149459645896,2.0,0.8024833295010347
3,Lateral Meniscus,4349,4349,1.0,0,0.0,0.3560538810812613,0.3598500433854764,0.8795113772744875,0.10623131754426304,2.0,0.4023913543343297
3,Lateral OA,4349,2914,0.6700390894458497,0,0.0,0.19054995201351196,0.24586685703895908,0.945164341657027,0.20717406300298918,2.0,0.9524028512301679
3,MCL,4349,4349,1.0,1226,0.2819038859507933,0.4181215008305564,0.35,0.8748500821194783,0.11151988962979996,2.0,0.6295700160956542
3,Medial Meniscus,4349,4349,1.0,24,0.005518510002299379,0.39963892171287496,0.4139161401014035,0.854036926427874,0.2078638767532766,2.0,0.43596229018165095
3,Medial OA,4349,4349,1.0,0,0.0,0.3587034970218126,0.35,0.8671672781278741,0.26672798344447,2.0,0.9213612324672339
3,PF OA,4349,4349,1.0,0,0.0,0.32700676336948686,0.35,0.8985709611294088,0.2205104621752127,2.0,0.8091515290871465
3,Synovitis,4349,674,0.15497815589790756,0,0.0,0.09815353553793767,0.08839519154178038,0.9479572960014344,0.04874683835364452,2.0,0.894228558289262
4,ACL,4349,4349,1.0,1307,0.3005288572085537,0.4289192529065079,0.35,0.8672248570172852,0.07978845711657852,2.0,0.6348585881811911
4,Baker's,4349,4349,1.0,0,0.0,0.3640615747809231,0.35,0.9048702129993776,0.051506093354794204,2.0,0.6219820648424925
4,Contusion,4349,4349,1.0,0,0.0,0.2810661323337307,0.2671963383463161,0.8554511337945421,0.11404920671418717,2.0,0.617843182340768
4,Effusion,4349,4349,1.0,0,0.0,0.24795854491094338,0.2364263711793498,0.8772598953450396,0.3359392963899747,2.0,0.279834444699931
4,Fracture,4349,4349,1.0,0,0.0,0.3457554605279963,0.33730199274506567,0.8895162225929425,0.025982984594159576,2.0,0.8024833295010347
4,Lateral Meniscus,4349,4349,1.0,0,0.0,0.38696787827963214,0.397808860547804,0.8672603035570299,0.11749827546562429,2.0,0.4023913543343297
4,Lateral OA,4349,2914,0.6700390894458497,0,0.0,0.1917584150142597,0.24806249861161989,0.9470850088393548,0.18716946424465394,2.0,0.9524028512301679
4,MCL,4349,4349,1.0,1235,0.2839733272016556,0.41219708997829296,0.35,0.8524306790393329,0.10370200045987583,2.0,0.6295700160956542
4,Medial Meniscus,4349,4349,1.0,22,0.005058634168774431,0.39243480253181384,0.4007178421996469,0.8609851907172876,0.20119567716716485,2.0,0.43596229018165095
4,Medial OA,4349,4349,1.0,0,0.0,0.33929083928230236,0.35,0.8768939828526161,0.26373879052655785,2.0,0.9213612324672339
4,PF OA,4349,4349,1.0,0,0.0,0.3416615110840586,0.35,0.8881786314235207,0.21844102092435042,2.0,0.8091515290871465
4,Synovitis,4349,659,0.15152908714647045,0,0.0,0.09734380551805934,0.08577231378602446,0.9415415656926687,0.039089445849620603,2.0,0.894228558289262
5,ACL,4349,4349,1.0,1269,0.2917912163715797,0.42360647048002437,0.35,0.8724149496651058,0.08139802253391584,2.0,0.6348585881811911
5,Baker's,4349,4349,1.0,6,0.0013796275005748448,0.3790933952012562,0.35,0.8966554568930727,0.06346286502644286,2.0,0.6219820648424925
5,Contusion,4349,4349,1.0,0,0.0,0.30301020628883024,0.2977555098647661,0.8918209446724914,0.1972867325822028,2.0,0.617843182340768
5,Effusion,4349,4349,1.0,0,0.0,0.3033122047424005,0.3010719392171165,0.879422731755623,0.21407220050586342,2.0,0.279834444699931
5,Fracture,4349,4349,1.0,0,0.0,0.35541426185129193,0.3490834856666131,0.9237469704548844,0.02276385375948494,2.0,0.8024833295010347
5,Lateral Meniscus,4349,4349,1.0,0,0.0,0.32344868409154415,0.32302778515419484,0.8776993481783308,0.11266957921361233,2.0,0.4023913543343297
5,Lateral OA,4349,4316,0.9924120487468383,0,0.0,0.2644726037540518,0.3315674277650611,0.9198141305342098,0.2025753046677397,2.0,0.9524028512301679
5,MCL,4349,4349,1.0,52,0.011956771671648655,0.400073629412348,0.35,0.8377923512834061,0.09266498045527707,2.0,0.6295700160956542
5,Medial Meniscus,4349,4349,1.0,415,0.09542423545642677,0.4168798869532038,0.4158036578659338,0.8631644004498811,0.20119567716716485,2.0,0.43596229018165095
5,Medial OA,4349,4349,1.0,0,0.0,0.32906657480955714,0.35,0.8637129813314353,0.2345366750977236,2.0,0.9213612324672339
5,PF OA,4349,4344,0.9988503104161877,0,0.0,0.3360611671624615,0.35,0.9031870897269642,0.24971257760404691,2.0,0.8091515290871465
5,Synovitis,4349,659,0.15152908714647045,0,0.0,0.09805327403217584,0.08698813717289124,0.9649940642789153,0.03472062543113359,2.0,0.894228558289262
