Label,W3_0_AUROC,W3_1_AUROC,Delta_AUROC,W3_0_AP,W3_1_AP,Delta_AP
ACL,0.4987745098039216,0.5061274509803921,0.007352941176470562,0.44655258504197026,0.45820295443012615,0.01165036938815589
MCL,0.40136054421768713,0.3424036281179138,-0.05895691609977333,0.14645956745099953,0.1257691333981096,-0.020690434052889922
Medial Meniscus,0.5805288461538461,0.46274038461538464,-0.11778846153846151,0.5226396345127983,0.473825640157766,-0.04881399435503225
Lateral Meniscus,0.5801242236024845,0.5714285714285714,-0.008695652173913104,0.49619069896055257,0.49387174099336184,-0.0023189579671907268
Medial OA,0.6077519379844961,0.5627906976744186,-0.04496124031007753,0.4113415519470908,0.3609856975309387,-0.050355854416152146
Lateral OA,0.6934235976789168,0.6963249516441006,0.0029013539651837617,0.3317841010435054,0.4263604229048715,0.09457632186136611
PF OA,0.6235521235521234,0.5804375804375804,-0.04311454311454299,0.5917879670172532,0.47068420525749527,-0.12110376175975796
Effusion,0.42049689440993787,0.524223602484472,0.1037267080745341,0.5650846390865035,0.6873983281529432,0.12231368906643969
Synovitis,0.4540023894862605,0.4755077658303465,0.021505376344086002,0.45067879097730734,0.5148919965551457,0.06421320557783838
Baker's,0.519927536231884,0.4692028985507246,-0.050724637681159424,0.3045561374094307,0.28442572590458526,-0.020130411504845458
Contusion,0.5870445344129555,0.47435897435897434,-0.11268556005398112,0.4760373225322392,0.3412836138053038,-0.13475370872693537
Fracture,0.5840277777777778,0.6152777777777778,0.03125,0.45442426873210084,0.47675163812576143,0.02232736939366059
