Label,PositiveCount,AUROC,AveragePrecision
ACL,24,0.5061274509803921,0.45820295443012615
MCL,9,0.3424036281179138,0.1257691333981096
Medial Meniscus,26,0.46274038461538464,0.473825640157766
Lateral Meniscus,23,0.5714285714285714,0.49387174099336184
Medial OA,15,0.5627906976744186,0.3609856975309387
Lateral OA,11,0.6963249516441006,0.4263604229048715
PF OA,21,0.5804375804375804,0.47068420525749527
Effusion,35,0.524223602484472,0.6873983281529432
Synovitis,27,0.4755077658303465,0.5148919965551457
Baker's,12,0.4692028985507246,0.28442572590458526
Contusion,19,0.47435897435897434,0.3412836138053038
Fracture,18,0.6152777777777778,0.47675163812576143
