OuterFold,Label,SelectedCellN,SelectedStudyCoverage,MeanSoftTarget,SoftTargetFraction_ge_0_5,MeanSelectionScore
1,ACL,1256,0.2888020234536675,0.3085414470052758,0.20222929936305734,0.6377238886924287
1,MCL,1254,0.28834214762014254,0.2565450741507481,0.07177033492822966,0.5649696090325811
1,Medial Meniscus,1638,0.3766383076569326,0.5592585031856017,0.5744810744810744,0.6201184108670272
1,Lateral Meniscus,2031,0.467003908944585,0.301797933395825,0.14229443623830626,0.5436048644880901
1,Medial OA,0,0.0,,,
1,Lateral OA,0,0.0,,,
1,PF OA,0,0.0,,,
1,Effusion,830,0.19084847091285354,0.27474167468784855,0.0963855421686747,0.5384840269476785
1,Synovitis,0,0.0,,,
1,Baker's,548,0.12600597838583583,0.6683103632932856,0.6970802919708029,0.6288680522478169
1,Contusion,662,0.15221890089675788,0.3296950450880919,0.14954682779456194,0.5354951270328947
1,Fracture,590,0.13566337088985975,0.2836073081382107,0.13389830508474576,0.5825153406584959
2,ACL,1309,0.3009887330420786,0.3400920971244854,0.2452253628724217,0.6464725494128221
2,MCL,1205,0.2770751896987813,0.23942328432272741,0.03900414937759336,0.5467250393899822
2,Medial Meniscus,1694,0.38951483099563117,0.5793673902269763,0.5826446280991735,0.608527569171865
2,Lateral Meniscus,1800,0.41388825017245345,0.30488883001273476,0.15333333333333332,0.54206022824327
2,Medial OA,0,0.0,,,
2,Lateral OA,0,0.0,,,
2,PF OA,0,0.0,,,
2,Effusion,968,0.22257990342607495,0.23152856822489543,0.07128099173553719,0.5911997561417016
2,Synovitis,0,0.0,,,
2,Baker's,844,0.19406760174752816,0.4270440204534106,0.31635071090047395,0.5604280427014259
2,Contusion,0,0.0,,,
2,Fracture,513,0.11795815129914923,0.24565009074867106,0.05847953216374269,0.5587880196177836
3,ACL,1274,0.292940905955392,0.3045699297106531,0.19858712715855573,0.6478554413429326
3,MCL,1202,0.2763853759484939,0.23776529940414065,0.03161397670549085,0.5392833739211839
3,Medial Meniscus,1695,0.3897447689123937,0.5552549149808578,0.5634218289085545,0.6196944601735158
3,Lateral Meniscus,2124,0.48838813520349506,0.31384283098121973,0.17796610169491525,0.572299830589298
3,Medial OA,0,0.0,,,
3,Lateral OA,0,0.0,,,
3,PF OA,0,0.0,,,
3,Effusion,987,0.22694872384456197,0.34825164579579376,0.23809523809523808,0.5561355258542624
3,Synovitis,0,0.0,,,
3,Baker's,838,0.19268797424695333,0.43282645947815046,0.3198090692124105,0.5609704560844182
3,Contusion,245,0.056334789606806164,0.4066004874801994,0.2897959183673469,0.5452181504537549
3,Fracture,522,0.1200275925500115,0.2845336279320137,0.12452107279693486,0.5751969511198415
4,ACL,1308,0.30075879512531617,0.3066907992795501,0.2209480122324159,0.6662342469050098
4,MCL,1197,0.27523568636468154,0.22766663078390226,0.029239766081871343,0.5591617929129127
4,Medial Meniscus,1595,0.36675097723614625,0.550073775331997,0.5686520376175549,0.6121968108071041
4,Lateral Meniscus,2153,0.4950563347896068,0.29566662121109033,0.1699953553181607,0.5968994465509625
4,Medial OA,0,0.0,,,
4,Lateral OA,0,0.0,,,
4,PF OA,0,0.0,,,
4,Effusion,881,0.2025753046677397,0.3431705108502286,0.20998864926220204,0.524522910177431
4,Synovitis,0,0.0,,,
4,Baker's,890,0.204644745918602,0.47281380521839056,0.36404494382022473,0.6088990489484747
4,Contusion,0,0.0,,,
4,Fracture,580,0.133363991722235,0.29606337300641233,0.1396551724137931,0.5709098058503983
5,ACL,1257,0.28903196137042997,0.3076943057463095,0.20286396181384247,0.6433937034867189
5,MCL,1190,0.27362612094734423,0.23167902542961002,0.030252100840336135,0.5521847862482955
5,Medial Meniscus,1862,0.42814440101172685,0.5449061112082788,0.5381310418904404,0.6599763147715254
5,Lateral Meniscus,1462,0.3361692343067372,0.3747611492275404,0.2585499316005472,0.5565297441845819
5,Medial OA,0,0.0,,,
5,Lateral OA,0,0.0,,,
5,PF OA,0,0.0,,,
5,Effusion,999,0.22970797884571165,0.382167454818145,0.2722722722722723,0.5401073241159174
5,Synovitis,0,0.0,,,
5,Baker's,500,0.11496895838123707,0.712283079105338,0.776,0.6316562905865722
5,Contusion,725,0.16670498965279373,0.33728193141938934,0.17655172413793102,0.5384479682270945
5,Fracture,442,0.10163255920901357,0.38462522635531193,0.22624434389140272,0.5553499893817545
