Label,Gold_AUROC,Weak_AUROC,Delta_AUROC,Gold_AP,Weak_AP,Delta_AP
ACL,0.6176470588235294,0.7279411764705883,0.11029411764705888,0.5024956596682721,0.5825571189533169,0.08006145928504471
MCL,0.6099773242630385,0.5918367346938775,-0.01814058956916098,0.23535353535353537,0.31863105479113124,0.08327751943759587
Medial Meniscus,0.5913461538461537,0.5721153846153846,-0.019230769230769162,0.5461109691420057,0.5271061069219821,-0.01900486222002362
Lateral Meniscus,0.6434782608695652,0.6906832298136646,0.047204968944099424,0.5421589055098814,0.5598975481877095,0.017738642677828098
Medial OA,0.737984496124031,0.6496124031007753,-0.08837209302325577,0.6218891896833073,0.47669153436647344,-0.14519765531683387
Lateral OA,0.6266924564796905,0.620889748549323,-0.005802707930367523,0.3309289682669664,0.3208204281748549,-0.010108540092111484
PF OA,0.5804375804375804,0.5508365508365508,-0.029601029601029616,0.5295001011478906,0.5032802837407614,-0.026219817407129198
Effusion,0.760248447204969,0.8062111801242234,0.045962732919254456,0.8436561705701632,0.8679932738523477,0.024337103282184525
Synovitis,0.6033452807646356,0.6057347670250897,0.002389486260454099,0.6305634587657405,0.6205843831767772,-0.009979075588963271
Baker's,0.5,0.5960144927536232,0.09601449275362317,0.26825884888232276,0.27285546808351435,0.004596619201191587
Contusion,0.5668016194331984,0.5546558704453441,-0.012145748987854255,0.40745538848167373,0.4083955857443926,0.0009401972627188782
Fracture,0.6097222222222222,0.7263888888888889,0.1166666666666667,0.44521055909256413,0.5255678252827656,0.08035726619020145
