OuterFold,Label,SelectedCellN,SelectedStudyFraction,MeanSoftTarget
1,ACL,1256,0.2888020234536675,0.3085414470052758
1,MCL,1254,0.2883421476201425,0.2565450741507481
1,Medial Meniscus,1638,0.3766383076569326,0.5592585031856017
1,Lateral Meniscus,2031,0.467003908944585,0.301797933395825
1,Medial OA,0,0.0,
1,Lateral OA,0,0.0,
1,PF OA,0,0.0,
1,Effusion,830,0.1908484709128535,0.2747416746878485
1,Synovitis,0,0.0,
1,Baker's,548,0.1260059783858358,0.6683103632932856
1,Contusion,662,0.1522189008967578,0.3296950450880919
1,Fracture,590,0.1356633708898597,0.2836073081382107
2,ACL,1309,0.3009887330420786,0.3400920971244854
2,MCL,1205,0.2770751896987813,0.2394232843227274
2,Medial Meniscus,1694,0.3895148309956311,0.5793673902269763
2,Lateral Meniscus,1800,0.4138882501724534,0.3048888300127347
2,Medial OA,0,0.0,
2,Lateral OA,0,0.0,
2,PF OA,0,0.0,
2,Effusion,968,0.2225799034260749,0.2315285682248954
2,Synovitis,0,0.0,
2,Baker's,844,0.1940676017475281,0.4270440204534106
2,Contusion,0,0.0,
2,Fracture,513,0.1179581512991492,0.245650090748671
3,ACL,1274,0.292940905955392,0.3045699297106531
3,MCL,1202,0.2763853759484939,0.2377652994041406
3,Medial Meniscus,1695,0.3897447689123937,0.5552549149808578
3,Lateral Meniscus,2124,0.488388135203495,0.3138428309812197
3,Medial OA,0,0.0,
3,Lateral OA,0,0.0,
3,PF OA,0,0.0,
3,Effusion,987,0.2269487238445619,0.3482516457957937
3,Synovitis,0,0.0,
3,Baker's,838,0.1926879742469533,0.4328264594781504
3,Contusion,245,0.0563347896068061,0.4066004874801994
3,Fracture,522,0.1200275925500115,0.2845336279320137
4,ACL,1308,0.3007587951253161,0.3066907992795501
4,MCL,1197,0.2752356863646815,0.2276666307839022
4,Medial Meniscus,1595,0.3667509772361462,0.550073775331997
4,Lateral Meniscus,2153,0.4950563347896068,0.2956666212110903
4,Medial OA,0,0.0,
4,Lateral OA,0,0.0,
4,PF OA,0,0.0,
4,Effusion,881,0.2025753046677397,0.3431705108502286
4,Synovitis,0,0.0,
4,Baker's,890,0.204644745918602,0.4728138052183905
4,Contusion,0,0.0,
4,Fracture,580,0.133363991722235,0.2960633730064123
5,ACL,1257,0.2890319613704299,0.3076943057463095
5,MCL,1190,0.2736261209473442,0.23167902542961
5,Medial Meniscus,1862,0.4281444010117268,0.5449061112082788
5,Lateral Meniscus,1462,0.3361692343067372,0.3747611492275404
5,Medial OA,0,0.0,
5,Lateral OA,0,0.0,
5,PF OA,0,0.0,
5,Effusion,999,0.2297079788457116,0.382167454818145
5,Synovitis,0,0.0,
5,Baker's,500,0.114968958381237,0.712283079105338
5,Contusion,725,0.1667049896527937,0.3372819314193893
5,Fracture,442,0.1016325592090135,0.3846252263553119
