Variant,Fold,Epoch,GoldLoss,PseudoLoss,TotalLoss,LearningRate,ValMacroAUROC,ValMacroAP,ValMacroF1,PseudoSeenCells__ACL,PseudoSeenCells__MCL,PseudoSeenCells__Medial Meniscus,PseudoSeenCells__Lateral Meniscus,PseudoSeenCells__Medial OA,PseudoSeenCells__Lateral OA,PseudoSeenCells__PF OA,PseudoSeenCells__Effusion,PseudoSeenCells__Synovitis,PseudoSeenCells__Baker's,PseudoSeenCells__Contusion,PseudoSeenCells__Fracture
gold_only,1,1,0.8754822015762329,0.0,0.8754822015762329,0.0004037917007321,0.6206349206349207,0.5783143080464508,0.4722622285122284,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,2,0.5626847082749009,0.0,0.5626847082749009,0.0009437317965886,0.5979166666666667,0.5691109507776174,0.3692714692714693,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,3,0.3421055851504206,0.0,0.3421055851504206,0.0009978941462503,0.6760912698412699,0.6350916907166907,0.4832685832685834,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,4,0.1939700930379331,0.0,0.1939700930379331,0.0009859933784373,0.6817460317460317,0.6383409992784993,0.4033341658341658,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,5,0.0772040786687284,0.0,0.0772040786687284,0.0009638300653841,0.6656746031746031,0.6276341934080029,0.3928571428571428,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,6,0.0400675602722913,0.0,0.0400675602722913,0.0009318722236297,0.6652777777777777,0.6351167929292928,0.467526455026455,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,7,0.0236957343877293,0.0,0.0236957343877293,0.0008907946980608,0.6450396825396826,0.6184052973041068,0.3598124098124097,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,8,0.0181831034715287,0.0,0.0181831034715287,0.0008414649113999,0.6678571428571428,0.6041961923658352,0.3646425469954881,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,9,0.0175630134181119,0.0,0.0175630134181119,0.0007849245470794,0.6616071428571428,0.6257165046153141,0.3856735856735857,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,10,0.0109289844258455,0.0,0.0109289844258455,0.0007223675523019,0.6319444444444445,0.5935309586797682,0.385978835978836,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,11,0.0094367712881648,0.0,0.0094367712881648,0.0006551149257877,0.6549603174603175,0.6109504913076341,0.387012987012987,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,12,0.0089366518805036,0.0,0.0089366518805036,0.000584586822611,0.6337301587301587,0.6005583256029684,0.4127011877011877,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,13,0.0093916661862749,0.0,0.0093916661862749,0.0005122725651789,0.6679563492063493,0.613533163265306,0.3528693528693529,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,14,0.0071646973083261,0.0,0.0071646973083261,0.0004396991936229,0.6402777777777778,0.6155817743764173,0.4193556443556443,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,15,0.0070603060885332,0.0,0.0070603060885332,0.0003683992197156,0.6243055555555556,0.5938285777273872,0.3832251082251083,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,16,0.0058925408302457,0.0,0.0058925408302457,0.0002998782652442,0.6326388888888889,0.6000272566939234,0.4101370851370851,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,17,0.0056622815391165,0.0,0.0056622815391165,0.0002355832682129,0.6359126984126983,0.610668855505165,0.4122849372849372,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,18,0.0045028593958704,0.0,0.0045028593958704,0.0001768719282541,0.6357142857142857,0.6013381977370073,0.387012987012987,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,19,0.0051933156282757,0.0,0.0051933156282757,0.0001249840364609,0.6406746031746032,0.6023994050482145,0.4125180375180375,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,20,0.004607134287653,0.0,0.004607134287653,8.10152950631509e-05,0.6346230158730158,0.5971053935042031,0.4247113997113996,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,21,0.005215353310632,0.0,0.005215353310632,4.589417978636221e-05,0.6516865079365078,0.5965732867220962,0.4153873903873903,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,22,0.0042914625300909,0.0,0.0042914625300909,2.0362333487643505e-05,0.6574404761904763,0.6136037100025196,0.4302669552669553,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,23,0.0051813147874781,0.0,0.0051813147874781,4.958905088830256e-06,0.6482142857142857,0.6034185248173344,0.4302669552669553,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,1,24,0.0040294745631399,0.0,0.0040294745631399,9.164518176878752e-09,0.6482142857142857,0.6034185248173344,0.4302669552669553,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,1,0.8677220847457647,0.0,0.8677220847457647,0.0004037917007321,0.5877893518518519,0.5524205060812204,0.3296957671957671,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,2,0.5876144422218204,0.0,0.5876144422218204,0.0009437317965886,0.6421241181657849,0.6054271026592455,0.2726851851851852,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,3,0.3634083801880479,0.0,0.3634083801880479,0.0009978941462503,0.6432236552028219,0.5699352152477152,0.3148148148148148,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,4,0.195758007466793,0.0,0.195758007466793,0.0009859933784373,0.6042135141093474,0.578514968276873,0.3281746031746032,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,5,0.0749366694362834,0.0,0.0749366694362834,0.0009638300653841,0.6473985890652557,0.5781516554433221,0.3509680134680135,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,6,0.0360813082661479,0.0,0.0360813082661479,0.0009318722236297,0.6017168209876544,0.5553378026294692,0.3350769600769601,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,7,0.0255628290469758,0.0,0.0255628290469758,0.0008907946980608,0.6203069885361553,0.5664422999839666,0.3597014097014097,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,8,0.0188206630118656,0.0,0.0188206630118656,0.0008414649113999,0.5963789682539683,0.5590454144620811,0.396031746031746,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,9,0.0146282403147779,0.0,0.0146282403147779,0.0007849245470794,0.5892719356261024,0.5621202100368767,0.3465099715099715,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,10,0.0113946012861561,0.0,0.0113946012861561,0.0007223675523019,0.5771852954144622,0.5436046977713644,0.3086159211159211,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,11,0.0157092237204778,0.0,0.0157092237204778,0.0006551149257877,0.5719742063492065,0.5270648949815616,0.3376595626595626,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,12,0.0104272212629439,0.0,0.0104272212629439,0.000584586822611,0.5933311287477955,0.545501242584576,0.3115921115921116,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,13,0.00787025540194,0.0,0.00787025540194,0.0005122725651789,0.5883735670194004,0.541834623159028,0.3501984126984127,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,14,0.0102230481279548,0.0,0.0102230481279548,0.0004396991936229,0.5801917989417991,0.5385410153118485,0.3532587782587782,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,15,0.00665337240207,0.0,0.00665337240207,0.0003683992197156,0.5676890432098766,0.50975328683662,0.3065656565656565,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,16,0.0060213435499463,0.0,0.0060213435499463,0.0002998782652442,0.5722718253968254,0.5098226811768479,0.3224206349206349,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,17,0.0052637676490121,0.0,0.0052637676490121,0.0002355832682129,0.5749421296296297,0.5086923300464966,0.3224206349206349,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,18,0.004658556805225,0.0,0.004658556805225,0.0001768719282541,0.5699570105820105,0.5071771785313451,0.321031746031746,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,19,0.0059743301462731,0.0,0.0059743301462731,0.0001249840364609,0.5683945105820105,0.5059506273047939,0.2902777777777778,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,20,0.0053636596203432,0.0,0.0053636596203432,8.10152950631509e-05,0.5580246913580248,0.505067139650473,0.3178751803751803,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,21,0.0045687656893278,0.0,0.0045687656893278,4.589417978636221e-05,0.5637180335097002,0.5164023669232003,0.3224206349206349,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,22,0.0044048093259334,0.0,0.0044048093259334,2.0362333487643505e-05,0.569185405643739,0.5124679333012667,0.3263888888888889,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,23,0.0043997611355734,0.0,0.0043997611355734,4.958905088830256e-06,0.5668705908289241,0.5089957110790444,0.3218434343434344,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,2,24,0.0045810923911631,0.0,0.0045810923911631,9.164518176878752e-09,0.5668705908289241,0.5089957110790444,0.3218434343434344,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,1,0.8969614244997501,0.0,0.8969614244997501,0.0004037917007321,0.6583994708994709,0.6031483199340342,0.409642617730853,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,2,0.5947286188602448,0.0,0.5947286188602448,0.0009437317965886,0.7029100529100529,0.6278242458599602,0.4087301587301586,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,3,0.3206258565187454,0.0,0.3206258565187454,0.0009978941462503,0.7353174603174604,0.6917961359628025,0.502974802974803,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,4,0.1758310205768793,0.0,0.1758310205768793,0.0009859933784373,0.7548280423280423,0.6979730840147506,0.4890274077774077,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,5,0.0787603188073262,0.0,0.0787603188073262,0.0009638300653841,0.7302910052910052,0.6823781465448132,0.6147620897620899,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,6,0.0323126643779687,0.0,0.0323126643779687,0.0009318722236297,0.7308862433862434,0.6890530804072471,0.5651848151848152,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,7,0.0235205058706924,0.0,0.0235205058706924,0.0008907946980608,0.6902116402116403,0.6660854720676149,0.5257034632034631,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,8,0.0198037333029788,0.0,0.0198037333029788,0.0008414649113999,0.7179232804232805,0.7141718274009939,0.5668650793650793,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,9,0.0130994188948534,0.0,0.0130994188948534,0.0007849245470794,0.7125,0.6745710148537528,0.5501984126984126,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,10,0.0114149419823661,0.0,0.0114149419823661,0.0007223675523019,0.7025132275132275,0.685101060205227,0.5752525252525252,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,11,0.0079842675331747,0.0,0.0079842675331747,0.0006551149257877,0.6933862433862433,0.6645956589706591,0.5713263588263588,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,12,0.0070657100586686,0.0,0.0070657100586686,0.000584586822611,0.6963624338624338,0.6756737012987012,0.5754930254930255,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,13,0.0071626908174948,0.0,0.0071626908174948,0.0005122725651789,0.7003968253968255,0.6651410576857005,0.5777657527657528,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,14,0.0066666955244727,0.0,0.0066666955244727,0.0004396991936229,0.7279100529100528,0.7051874971369019,0.5754930254930255,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,15,0.0052249728541937,0.0,0.0052249728541937,0.0003683992197156,0.7056216931216932,0.675384900593234,0.5801226551226552,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,16,0.004890026335488,0.0,0.004890026335488,0.0002998782652442,0.708201058201058,0.6793531545614879,0.5856782106782107,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,17,0.0049533500932739,0.0,0.0049533500932739,0.0002355832682129,0.7152777777777778,0.6926534191117525,0.5754930254930255,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,18,0.004237459237629,0.0,0.004237459237629,0.0001768719282541,0.723611111111111,0.704110399631233,0.5810485810485811,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,19,0.0048713526775827,0.0,0.0048713526775827,0.0001249840364609,0.7162037037037038,0.6909820927529259,0.5680856180856182,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,20,0.0045591726302518,0.0,0.0045591726302518,8.10152950631509e-05,0.7132275132275132,0.6992955848164181,0.594011544011544,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,21,0.0040149374399334,0.0,0.0040149374399334,4.589417978636221e-05,0.7234126984126984,0.709434473705307,0.5856782106782107,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,22,0.0045233225755509,0.0,0.0045233225755509,2.0362333487643505e-05,0.7234126984126984,0.707860399631233,0.5727152477152478,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,23,0.0041614993679104,0.0,0.0041614993679104,4.958905088830256e-06,0.7234126984126984,0.707860399631233,0.5866041366041367,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,3,24,0.0041415564191993,0.0,0.0041415564191993,9.164518176878752e-09,0.7234126984126984,0.707860399631233,0.5866041366041367,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,4,1,0.8739963639527559,0.0,0.8739963639527559,0.0004037917007321,0.6548280423280424,0.5942342214663642,0.2444444444444444,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,4,2,0.6277009472250938,0.0,0.6277009472250938,0.0009437317965886,0.6461640211640212,0.5714549405620833,0.3877164502164502,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,4,3,0.3614913523197174,0.0,0.3614913523197174,0.0009978941462503,0.671957671957672,0.5929971483542912,0.3966089466089466,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,4,4,0.1581933530978858,0.0,0.1581933530978858,0.0009859933784373,0.6645502645502644,0.5973988395863395,0.4431998556998557,0,0,0,0,0,0,0,0,0,0,0,0
