Label,PositiveCount,AUROC,AveragePrecision
ACL,24,0.6176470588235294,0.5024956596682721
MCL,9,0.6099773242630385,0.23535353535353537
Medial Meniscus,26,0.5913461538461537,0.5461109691420057
Lateral Meniscus,23,0.6434782608695652,0.5421589055098814
Medial OA,15,0.737984496124031,0.6218891896833073
Lateral OA,11,0.6266924564796905,0.3309289682669664
PF OA,21,0.5804375804375804,0.5295001011478906
Effusion,35,0.760248447204969,0.8436561705701632
Synovitis,27,0.6033452807646356,0.6305634587657405
Baker's,12,0.5,0.26825884888232276
Contusion,19,0.5668016194331984,0.40745538848167373
Fracture,18,0.6097222222222222,0.44521055909256413
