StudyInstanceUID,SeriesInstanceUID,Status,MetadataPlane,GeometryPlane,GeometryConfidence,PlaneMatch,PlaneUsed,TargetOrientation,OrientationTransform,MinOrientationAlignment,OriginalSliceCount,RequestedSelectedSlices,EncodedSliceCount,DecodeFailures,PhysicalSpanMM
1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260,1.2.826.0.1.3680043.8.498.13821229744997220641575291927426543265,OK,Axial,Axial,0.9976684816006792,True,Axial,PL,none,0.9927377189414015,18,18,18,0,131.20910443971442
1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260,1.2.826.0.1.3680043.8.498.40734206102458723096154687147390476697,OK,Coronal,Coronal,0.9942373308339635,True,Coronal,IL,none,0.9968222162330058,16,16,16,0,98.92233983439286
1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260,1.2.826.0.1.3680043.8.498.23084836536722595275828690293168736174,OK,Coronal,Coronal,0.9942373308339635,True,Coronal,IL,none,0.9968222162330058,16,16,16,0,98.92233983439765
1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260,1.2.826.0.1.3680043.8.498.12343110195036213483454091715412333772,OK,Sagittal,Sagittal,0.9977534407732334,True,Sagittal,IP,none,0.9980446236407364,22,22,22,0,97.32561738329075
1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260,1.2.826.0.1.3680043.8.498.75714899997203615784077798038670363546,OK,Sagittal,Sagittal,0.9977534407732334,True,Sagittal,IP,none,0.9980446236407364,22,22,22,0,97.3256173832911
1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585,1.2.826.0.1.3680043.8.498.83327574802189551711953505990029424266,OK,Axial,Axial,0.9998690871824648,True,Axial,PL,none,0.9998433969966021,38,24,24,0,133.19976741261365
1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585,1.2.826.0.1.3680043.8.498.99023014295026495734071089488213553280,OK,Coronal,Coronal,0.9921573303867254,True,Coronal,IL,none,0.9917029400593689,30,24,24,0,104.39998787561416
1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585,1.2.826.0.1.3680043.8.498.87374594163896635184044513927478147680,OK,Coronal,Coronal,0.9921573303867254,True,Coronal,IL,none,0.9917029400593689,30,24,24,0,104.39998787561416
1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585,1.2.826.0.1.3680043.8.498.72137122913943091996840828871969421711,OK,Sagittal,Sagittal,0.9995300104562486,True,Sagittal,IP,none,0.9995226893378515,34,24,24,0,98.99999643871774
1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585,1.2.826.0.1.3680043.8.498.27845969797953115400959653384511165237,OK,Sagittal,Sagittal,0.9995300104562486,True,Sagittal,IP,none,0.9995226893378515,34,24,24,0,98.99999643871774
1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231,1.2.826.0.1.3680043.8.498.26515132645256697953312631089055309042,OK,Axial,Axial,0.9982606004149855,True,Axial,PL,none,0.9800147102345609,48,24,24,0,176.2500779267894
1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231,1.2.826.0.1.3680043.8.498.12689544351656485342798482846432921455,OK,Coronal,Coronal,0.9818449501096778,True,Coronal,IL,none,0.9825077774020365,38,24,24,0,110.99964901950327
1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231,1.2.826.0.1.3680043.8.498.30827030879314217305902637111255984309,OK,Coronal,Coronal,0.9818450081904305,True,Coronal,IL,none,0.9825065367356076,38,24,24,0,111.00038797417356
1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231,1.2.826.0.1.3680043.8.498.93288538765996574291399549037773479273,OK,Sagittal,Sagittal,0.9996690352282885,True,Sagittal,IP,none,0.9989921542285914,38,24,24,0,110.99998930237453
1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231,1.2.826.0.1.3680043.8.498.33836648034724869721686434744559693623,OK,Sagittal,Sagittal,0.9996690361221426,True,Sagittal,IP,none,0.9989921525497847,38,24,24,0,110.99998963319362
